,INSCRICAO,ENDEREÇO IMOVEL,CONTRIBUINTE,CLASSIFICACAO,BENEFICIO,geocode_result
506,66687-4,R  LIBERATO BARROSO 961  CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '961', 'short_name': '961', 'types': ['street_number']}, {'long_name': 'Rua Liberato Barroso', 'short_name': 'R. Liberato Barroso', 'types': ['route']}, {'long_name': 'Centro', 'short_name': 'Centro', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60030-160', 'short_name': '60030-160', 'types': ['postal_code']}], 'formatted_address': 'R. Liberato Barroso, 961 - Centro, Fortaleza - CE, 60030-160, Brazil', 'geometry': {'location': {'lat': -3.7261745, 'lng': -38.5358455}, 'location_type': 'RANGE_INTERPOLATED', 'viewport': {'northeast': {'lat': -3.724825519708498, 'lng': -38.5344965197085}, 'southwest': {'lat': -3.727523480291502, 'lng': -38.5371944802915}}}, 'place_id': 'EkRSLiBMaWJlcmF0byBCYXJyb3NvLCA5NjEgLSBDZW50cm8sIEZvcnRhbGV6YSAtIENFLCA2MDAzMC0xNjAsIEJyYXppbCIbEhkKFAoSCRGXmduvSccHEd4pLLsnU_inEMEH', 'types': ['street_address']}]"
507,66686-6,R  LIBERATO BARROSO 957  CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '957', 'short_name': '957', 'types': ['street_number']}, {'long_name': 'Rua Liberato Barroso', 'short_name': 'R. Liberato Barroso', 'types': ['route']}, {'long_name': 'Centro', 'short_name': 'Centro', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60030-160', 'short_name': '60030-160', 'types': ['postal_code']}], 'formatted_address': 'R. Liberato Barroso, 957 - Centro, Fortaleza - CE, 60030-160, Brazil', 'geometry': {'location': {'lat': -3.7261832, 'lng': -38.5358181}, 'location_type': 'RANGE_INTERPOLATED', 'viewport': {'northeast': {'lat': -3.724834219708498, 'lng': -38.5344691197085}, 'southwest': {'lat': -3.727532180291502, 'lng': -38.5371670802915}}}, 'place_id': 'EkRSLiBMaWJlcmF0byBCYXJyb3NvLCA5NTcgLSBDZW50cm8sIEZvcnRhbGV6YSAtIENFLCA2MDAzMC0xNjAsIEJyYXppbCIbEhkKFAoSCRGXmduvSccHEd4pLLsnU_inEL0H', 'types': ['street_address']}]"
508,108932-3,R  MANUEL MOURA 678  BARRA DO CEARÁ FORTALEZA - CE CEP:60330780,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '678', 'short_name': '678', 'types': ['street_number']}, {'long_name': 'Rua Manuel Moura', 'short_name': 'R. Manuel Moura', 'types': ['route']}, {'long_name': 'Barra do Ceará', 'short_name': 'Barra do Ceará', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60330-780', 'short_name': '60330-780', 'types': ['postal_code']}], 'formatted_address': 'R. Manuel Moura, 678 - Barra do Ceará, Fortaleza - CE, 60330-780, Brazil', 'geometry': {'location': {'lat': -3.7145415, 'lng': -38.5872368}, 'location_type': 'RANGE_INTERPOLATED', 'viewport': {'northeast': {'lat': -3.713192519708497, 'lng': -38.5858878197085}, 'southwest': {'lat': -3.715890480291502, 'lng': -38.5885857802915}}}, 'place_id': 'EklSLiBNYW51ZWwgTW91cmEsIDY3OCAtIEJhcnJhIGRvIENlYXLDoSwgRm9ydGFsZXphIC0gQ0UsIDYwMzMwLTc4MCwgQnJhemlsIhsSGQoUChIJia4feRVKxwcRwKsCl7vokSoQpgU', 'types': ['street_address']}]"
509,189285-1,R PRO MIRAMAR DA PONTE 872  HENRIQUE JORGE FORTALEZA - CE CEP:60521065,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '872', 'short_name': '872', 'types': ['street_number']}, {'long_name': 'Rua Professor Miramar da Ponte', 'short_name': 'Rua Professor Miramar da Ponte', 'types': ['route']}, {'long_name': 'João XXIII', 'short_name': 'João XXIII', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60521-065', 'short_name': '60521-065', 'types': ['postal_code']}], 'formatted_address': 'Rua Professor Miramar da Ponte, 872 - João XXIII, Fortaleza - CE, 60521-065, Brazil', 'geometry': {'bounds': {'northeast': {'lat': -3.7625768, 'lng': -38.5863485}, 'southwest': {'lat': -3.7628015, 'lng': -38.5866951}}, 'location': {'lat': -3.762727, 'lng': -38.5864498}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.761340169708497, 'lng': -38.5851728197085}, 'southwest': {'lat': -3.764038130291502, 'lng': -38.5878707802915}}}, 'partial_match': True, 'place_id': 'ChIJj2KMvfVLxwcRK-_a1ms9lVw', 'types': ['premise']}]"
510,66699-8,R  LIBERATO BARROSO 971  16 CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '971', 'short_name': '971', 'types': ['street_number']}, {'long_name': 'Rua Liberato Barroso', 'short_name': 'R. Liberato Barroso', 'types': ['route']}, {'long_name': 'Centro', 'short_name': 'Centro', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60030-160', 'short_name': '60030-160', 'types': ['postal_code']}], 'formatted_address': 'R. Liberato Barroso, 971 - Centro, Fortaleza - CE, 60030-160, Brazil', 'geometry': {'location': {'lat': -3.726152799999999, 'lng': -38.53591400000001}, 'location_type': 'RANGE_INTERPOLATED', 'viewport': {'northeast': {'lat': -3.724803819708498, 'lng': -38.53456501970851}, 'southwest': {'lat': -3.727501780291502, 'lng': -38.53726298029151}}}, 'place_id': 'EkRSLiBMaWJlcmF0byBCYXJyb3NvLCA5NzEgLSBDZW50cm8sIEZvcnRhbGV6YSAtIENFLCA2MDAzMC0xNjAsIEJyYXppbCIbEhkKFAoSCRGXmduvSccHEd4pLLsnU_inEMsH', 'types': ['street_address']}]"
511,189284-3,R PRO MIRAMAR DA PONTE 872  2 HENRIQUE JORGE FORTALEZA - CE CEP:60521065,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '872', 'short_name': '872', 'types': ['street_number']}, {'long_name': 'Rua Professor Miramar da Ponte', 'short_name': 'Rua Professor Miramar da Ponte', 'types': ['route']}, {'long_name': 'João XXIII', 'short_name': 'João XXIII', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60521-065', 'short_name': '60521-065', 'types': ['postal_code']}], 'formatted_address': 'Rua Professor Miramar da Ponte, 872 - João XXIII, Fortaleza - CE, 60521-065, Brazil', 'geometry': {'bounds': {'northeast': {'lat': -3.7625768, 'lng': -38.5863485}, 'southwest': {'lat': -3.7628015, 'lng': -38.5866951}}, 'location': {'lat': -3.762727, 'lng': -38.5864498}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.761340169708497, 'lng': -38.5851728197085}, 'southwest': {'lat': -3.764038130291502, 'lng': -38.5878707802915}}}, 'partial_match': True, 'place_id': 'ChIJj2KMvfVLxwcRK-_a1ms9lVw', 'types': ['premise']}]"
512,158456-1,R MAJ ADELINO 275  QUINTINO CUNHA FORTALEZA - CE CEP:60352520,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '275', 'short_name': '275', 'types': ['street_number']}, {'long_name': 'Rua Adélino', 'short_name': 'R. Adélino', 'types': ['route']}, {'long_name': 'Quintino Cunha', 'short_name': 'Quintino Cunha', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60352-520', 'short_name': '60352-520', 'types': ['postal_code']}], 'formatted_address': 'R. Adélino, 275 - Quintino Cunha, Fortaleza - CE, 60352-520, Brazil', 'geometry': {'location': {'lat': -3.7363889, 'lng': -38.6008802}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.735039919708497, 'lng': -38.5995312197085}, 'southwest': {'lat': -3.737737880291502, 'lng': -38.60222918029149}}}, 'partial_match': True, 'place_id': 'ChIJaWnctFVLxwcRG0dB12CwxUU', 'plus_code': {'compound_code': '797X+CJ Quintino Cunha, Fortaleza - CE, Brazil', 'global_code': '6983797X+CJ'}, 'types': ['street_address']}]"
513,178620-2,R CAP URUGUAI 629  ALTO DA BALANÇA FORTALEZA - CE CEP:60851100,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '629', 'short_name': '629', 'types': ['street_number']}, {'long_name': 'Rua Capitão Uruguai', 'short_name': 'R. Cap. Uruguai', 'types': ['route']}, {'long_name': 'Alto da Balança', 'short_name': 'Alto da Balança', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60851-100', 'short_name': '60851-100', 'types': ['postal_code']}], 'formatted_address': 'R. Cap. Uruguai, 629 - Alto da Balança, Fortaleza - CE, 60851-100, Brazil', 'geometry': {'bounds': {'northeast': {'lat': -3.7660275, 'lng': -38.5120888}, 'southwest': {'lat': -3.7662733, 'lng': -38.5122077}}, 'location': {'lat': -3.7661612, 'lng': -38.5121518}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.764801419708497, 'lng': -38.5107992697085}, 'southwest': {'lat': -3.767499380291502, 'lng': -38.5134972302915}}}, 'place_id': 'ChIJGVzDkcxIxwcRsb0oXMc_o0c', 'types': ['premise']}]"
514,151071-1,R  JOAO FONSECA 205  DIAS MACÊDO FORTALEZA - CE CEP:60860410,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '205', 'short_name': '205', 'types': ['street_number']}, {'long_name': 'Rua João Fonseca', 'short_name': 'R. João Fonseca', 'types': ['route']}, {'long_name': 'Dias Macedo', 'short_name': 'Dias Macedo', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60860-410', 'short_name': '60860-410', 'types': ['postal_code']}], 'formatted_address': 'R. João Fonseca, 205 - Dias Macedo, Fortaleza - CE, 60860-410, Brazil', 'geometry': {'bounds': {'northeast': {'lat': -3.7850763, 'lng': -38.5226829}, 'southwest': {'lat': -3.7851179, 'lng': -38.5227486}}, 'location': {'lat': -3.7850885, 'lng': -38.5227314}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.783748119708497, 'lng': -38.5213667697085}, 'southwest': {'lat': -3.786446080291502, 'lng': -38.5240647302915}}}, 'place_id': 'ChIJF2AdJB9PxwcRF9xVcH3Xlnc', 'types': ['premise']}]"
515,66701-3,R  LIBERATO BARROSO 971  18 CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '971', 'short_name': '971', 'types': ['street_number']}, {'long_name': 'Rua Liberato Barroso', 'short_name': 'R. Liberato Barroso', 'types': ['route']}, {'long_name': 'Centro', 'short_name': 'Centro', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60030-160', 'short_name': '60030-160', 'types': ['postal_code']}], 'formatted_address': 'R. Liberato Barroso, 971 - Centro, Fortaleza - CE, 60030-160, Brazil', 'geometry': {'location': {'lat': -3.726152799999999, 'lng': -38.53591400000001}, 'location_type': 'RANGE_INTERPOLATED', 'viewport': {'northeast': {'lat': -3.724803819708498, 'lng': -38.53456501970851}, 'southwest': {'lat': -3.727501780291502, 'lng': -38.53726298029151}}}, 'place_id': 'EkRSLiBMaWJlcmF0byBCYXJyb3NvLCA5NzEgLSBDZW50cm8sIEZvcnRhbGV6YSAtIENFLCA2MDAzMC0xNjAsIEJyYXppbCIbEhkKFAoSCRGXmduvSccHEd4pLLsnU_inEMsH', 'types': ['street_address']}]"
516,236203-1,R  ELESBAO VELOSO 183 PARTE IGREJA_EVANG¿¿LICA_ASS.DE_DEUS AUTRAN NUNES FORTALEZA - CE CEP:60526380,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '183', 'short_name': '183', 'types': ['street_number']}, {'long_name': 'Rua Elesbão Veloso', 'short_name': 'R. Elesbão Veloso', 'types': ['route']}, {'long_name': 'Autran Nunes', 'short_name': 'Autran Nunes', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60526-380', 'short_name': '60526-380', 'types': ['postal_code']}], 'formatted_address': 'R. Elesbão Veloso, 183 - Autran Nunes, Fortaleza - CE, 60526-380, Brazil', 'geometry': {'location': {'lat': -3.7519357, 'lng': -38.5925186}, 'location_type': 'RANGE_INTERPOLATED', 'viewport': {'northeast': {'lat': -3.750586719708498, 'lng': -38.5911696197085}, 'southwest': {'lat': -3.753284680291502, 'lng': -38.59386758029149}}}, 'partial_match': True, 'place_id': 'EklSLiBFbGVzYsOjbyBWZWxvc28sIDE4MyAtIEF1dHJhbiBOdW5lcywgRm9ydGFsZXphIC0gQ0UsIDYwNTI2LTM4MCwgQnJhemlsIhsSGQoUChIJn1P0d5NLxwcRN8tgAMdLWScQtwE', 'types': ['street_address']}]"
517,38728-2,R  CRUZ ABREU 204  SÃO JOÃO DO TAUAPE FORTALEZA - CE CEP:60130440,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '204', 'short_name': '204', 'types': ['street_number']}, {'long_name': 'Rua Cruz Abreu', 'short_name': 'R. Cruz Abreu', 'types': ['route']}, {'long_name': 'São João do Tauape', 'short_name': 'São João do Tauape', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60130-440', 'short_name': '60130-440', 'types': ['postal_code']}], 'formatted_address': 'R. Cruz Abreu, 204 - São João do Tauape, Fortaleza - CE, 60130-440, Brazil', 'geometry': {'location': {'lat': -3.7581647, 'lng': -38.514259}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.756815719708498, 'lng': -38.5129100197085}, 'southwest': {'lat': -3.759513680291502, 'lng': -38.5156079802915}}}, 'place_id': 'ChIJv2ptDMVIxwcR80mqZ9MFrRs', 'plus_code': {'compound_code': '6FRP+P7 São João do Tauape, Fortaleza - State of Ceará, Brazil', 'global_code': '69836FRP+P7'}, 'types': ['street_address']}]"
518,27071-7,R ALM RUFINO 625  A 1 VILA UNIÃO FORTALEZA - CE CEP:60420075,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '625', 'short_name': '625', 'types': ['street_number']}, {'long_name': 'Rua Almírante Rufino', 'short_name': 'R. Almírante Rufino', 'types': ['route']}, {'long_name': 'Vila União', 'short_name': 'Vila União', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60420-075', 'short_name': '60420-075', 'types': ['postal_code']}], 'formatted_address': 'R. Almírante Rufino, 625 - Vila União, Fortaleza - CE, 60420-075, Brazil', 'geometry': {'bounds': {'northeast': {'lat': -3.7673919, 'lng': -38.5353456}, 'southwest': {'lat': -3.7676591, 'lng': -38.5355227}}, 'location': {'lat': -3.767519, 'lng': -38.5354226}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.766176519708498, 'lng': -38.5340851697085}, 'southwest': {'lat': -3.768874480291502, 'lng': -38.5367831302915}}}, 'place_id': 'ChIJ36qp59JOxwcRC28c8dxJQ6w', 'types': ['premise']}]"
519,260261-0,AV  LEA POMPEU   SN-6 JARDIM DAS OLIVEIRAS FORTALEZA - CE CEP:60821490,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': 'Avenida Léa Pompéu', 'short_name': 'Av. Léa Pompéu', 'types': ['route']}, {'long_name': 'Jardim Das Oliveiras', 'short_name': 'Jardim Das Oliveiras', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60821-490', 'short_name': '60821-490', 'types': ['postal_code']}], 'formatted_address': 'Av. Léa Pompéu - Jardim Das Oliveiras, Fortaleza - CE, 60821-490, Brazil', 'geometry': {'bounds': {'northeast': {'lat': -3.781693, 'lng': -38.4948474}, 'southwest': {'lat': -3.7889804, 'lng': -38.4974752}}, 'location': {'lat': -3.785543, 'lng': -38.4963054}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': -3.781693, 'lng': -38.4948123197085}, 'southwest': {'lat': -3.7889804, 'lng': -38.4975102802915}}}, 'partial_match': True, 'place_id': 'ChIJu6xf62hPxwcRZvf2aDybA_M', 'types': ['route']}]"
520,527710-8,R  12 (LOT. PARQUE SANTANA) 166  MONDUBIM FORTALEZA - CE CEP:60767720,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': 'Rua 12', 'short_name': 'Rua 12', 'types': ['route']}, {'long_name': 'Mondubim', 'short_name': 'Mondubim', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60768', 'short_name': '60768', 'types': ['postal_code', 'postal_code_prefix']}], 'formatted_address': 'Rua 12 - Mondubim, Fortaleza - CE, 60768, Brazil', 'geometry': {'bounds': {'northeast': {'lat': -3.8124474, 'lng': -38.5792124}, 'southwest': {'lat': -3.8151628, 'lng': -38.5824929}}, 'location': {'lat': -3.8138843, 'lng': -38.5808897}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': -3.8124474, 'lng': -38.5792124}, 'southwest': {'lat': -3.8151628, 'lng': -38.5824929}}}, 'partial_match': True, 'place_id': 'EilSdWEgMTIgLSBNb25kdWJpbSwgRm9ydGFsZXphIC0gQ0UsIEJyYXppbCIuKiwKFAoSCemHM9XpTccHEcQdE0sHthctEhQKEgmfnGcG6E3HBxEwiZ_CuBVuaw', 'types': ['route']}]"
521,66676-9,R  LIBERATO BARROSO 1001  103 CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '1001', 'short_name': '1001', 'types': ['street_number']}, {'long_name': 'Rua Liberato Barroso', 'short_name': 'R. Liberato Barroso', 'types': ['route']}, {'long_name': 'Centro', 'short_name': 'Centro', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60030-160', 'short_name': '60030-160', 'types': ['postal_code']}], 'formatted_address': 'R. Liberato Barroso, 1001 - Centro, Fortaleza - CE, 60030-160, Brazil', 'geometry': {'location': {'lat': -3.726087499999999, 'lng': -38.5361194}, 'location_type': 'RANGE_INTERPOLATED', 'viewport': {'northeast': {'lat': -3.724738519708497, 'lng': -38.53477041970849}, 'southwest': {'lat': -3.727436480291502, 'lng': -38.53746838029149}}}, 'place_id': 'EkVSLiBMaWJlcmF0byBCYXJyb3NvLCAxMDAxIC0gQ2VudHJvLCBGb3J0YWxlemEgLSBDRSwgNjAwMzAtMTYwLCBCcmF6aWwiGxIZChQKEgkRl5nbr0nHBxHeKSy7J1P4pxDpBw', 'types': ['street_address']}]"
522,90869-0,AV TEN LISBOA 2802  CARLITO PAMPLONA FORTALEZA - CE CEP:60310195,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '2802', 'short_name': '2802', 'types': ['street_number']}, {'long_name': 'Avenida Tenente Lisboa', 'short_name': 'Av. Ten. Lisboa', 'types': ['route']}, {'long_name': 'Presidente Kennedy', 'short_name': 'Pres. Kennedy', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60310-195', 'short_name': '60310-195', 'types': ['postal_code']}], 'formatted_address': 'Av. Ten. Lisboa, 2802 - Pres. Kennedy, Fortaleza - CE, 60310-195, Brazil', 'geometry': {'bounds': {'northeast': {'lat': -3.7188259, 'lng': -38.5606752}, 'southwest': {'lat': -3.7190667, 'lng': -38.5607655}}, 'location': {'lat': -3.7188658, 'lng': -38.5607361}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.717597319708497, 'lng': -38.55937136970849}, 'southwest': {'lat': -3.720295280291502, 'lng': -38.56206933029149}}}, 'place_id': 'ChIJxUfGsY1JxwcRIoZu95w5SrI', 'types': ['premise']}]"
523,178621-0,R CAP URUGUAI 629  ALTO DA BALANÇA FORTALEZA - CE CEP:60851100,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '629', 'short_name': '629', 'types': ['street_number']}, {'long_name': 'Rua Capitão Uruguai', 'short_name': 'R. Cap. Uruguai', 'types': ['route']}, {'long_name': 'Alto da Balança', 'short_name': 'Alto da Balança', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60851-100', 'short_name': '60851-100', 'types': ['postal_code']}], 'formatted_address': 'R. Cap. Uruguai, 629 - Alto da Balança, Fortaleza - CE, 60851-100, Brazil', 'geometry': {'bounds': {'northeast': {'lat': -3.7660275, 'lng': -38.5120888}, 'southwest': {'lat': -3.7662733, 'lng': -38.5122077}}, 'location': {'lat': -3.7661612, 'lng': -38.5121518}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.764801419708497, 'lng': -38.5107992697085}, 'southwest': {'lat': -3.767499380291502, 'lng': -38.5134972302915}}}, 'place_id': 'ChIJGVzDkcxIxwcRsb0oXMc_o0c', 'types': ['premise']}]"
