,CNPJ_basico,razao_social,Data início_atividade,Situação Cadastral,Data início_atividade,porte_da_empresa,End_comp,lat,lng,bairro_name,bairro_GID
23,45286200,CENTRO DE RAJA YOGA BRAHMA KUMARIS,19930701.0,2.0,19930701.0,5.0,"RUA GONCALVES LEDO, 1438, , CENTRO, 170     60750350.0
191     60851220.0
364     60521102.0
366     60813730.0
433     60341515.0
           ...    
1246    60184180.0
1247    60721340.0
1248    60455472.0
1249    60843020.0
1250    60120002.0
Name: CEP, Length: 2728, dtype: float64, Fortaleza - CE",-3.7363897,-38.5181037,Centro,10
24,48067094,EPARQUIA N S DO P GRECO MELQUITA CATOLICA DO BRASIL,19810630.0,8.0,19810630.0,5.0,"RUA TIBURCIO CAVALCANTE, 509, , MEIRELES, 170     60750350.0
191     60851220.0
364     60521102.0
366     60813730.0
433     60341515.0
           ...    
1246    60184180.0
1247    60721340.0
1248    60455472.0
1249    60843020.0
1250    60120002.0
Name: CEP, Length: 2728, dtype: float64, Fortaleza - CE",-3.729607799999999,-38.50048,Meireles,24
25,48077556,MOVIMENTO GNOSTICO CRISTAO UNIVERSAL DO BRASIL NA NOVA ORDEM,19920415.0,2.0,19920415.0,5.0,"RUA PADRE MORORO, 2113, , FARIAS BRITO, 170     60750350.0
191     60851220.0
364     60521102.0
366     60813730.0
433     60341515.0
           ...    
1246    60184180.0
1247    60721340.0
1248    60455472.0
1249    60843020.0
1250    60120002.0
Name: CEP, Length: 2728, dtype: float64, Fortaleza - CE",-3.7350031,-38.5403941,Farias Brito,15
26,50708569,IGREJA EVANGELICA ASSEMBLEIA DE DEUS MINISTERIO SOPRO DIVINO,19940307.0,2.0,19940307.0,5.0,"RUA DR FERNANDO AUGUSTO, S/N, , BOM JARDIM, 170     60750350.0
191     60851220.0
364     60521102.0
366     60813730.0
433     60341515.0
           ...    
1246    60184180.0
1247    60721340.0
1248    60455472.0
1249    60843020.0
1250    60120002.0
Name: CEP, Length: 2728, dtype: float64, Fortaleza - CE",-3.7955807,-38.59539609999999,Bom Jardim,72
27,52029139,PROVINCIA CAMILIANA BRASILEIRA,20121018.0,2.0,20121018.0,5.0,"RUA MARIA TOMASIA, 855,       APTO 1502, ALDEOTA, 170     60750350.0
191     60851220.0
364     60521102.0
366     60813730.0
433     60341515.0
           ...    
1246    60184180.0
1247    60721340.0
1248    60455472.0
1249    60843020.0
1250    60120002.0
Name: CEP, Length: 2728, dtype: float64, Fortaleza - CE",-3.7362102,-38.4944265,Aldeota,2
28,52844412,COMUNIDADE CRISTA PAZ E VIDA,20030923.0,2.0,20030923.0,5.0,"RUA CEL FRANCISCO PEREIRA, 410, , MESSEJANA, 170     60750350.0
191     60851220.0
364     60521102.0
366     60813730.0
433     60341515.0
           ...    
1246    60184180.0
1247    60721340.0
1248    60455472.0
1249    60843020.0
1250    60120002.0
Name: CEP, Length: 2728, dtype: float64, Fortaleza - CE",-3.8325059,-38.4931547,Messejana,65
29,52844412,COMUNIDADE CRISTA PAZ E VIDA,20050329.0,2.0,20050329.0,5.0,"RUA OSORIO DE PAIVA, 4848, , CANINDEZINHO, 170     60750350.0
191     60851220.0
364     60521102.0
366     60813730.0
433     60341515.0
           ...    
1246    60184180.0
1247    60721340.0
1248    60455472.0
1249    60843020.0
1250    60120002.0
Name: CEP, Length: 2728, dtype: float64, Fortaleza - CE",-3.801623,-38.599066,Bom Jardim,72
30,52844412,COMUNIDADE CRISTA PAZ E VIDA,20030923.0,2.0,20030923.0,5.0,"AVENIDA DOM MANUEL, 1211, , CENTRO, 170     60750350.0
191     60851220.0
364     60521102.0
366     60813730.0
433     60341515.0
           ...    
1246    60184180.0
1247    60721340.0
1248    60455472.0
1249    60843020.0
1250    60120002.0
Name: CEP, Length: 2728, dtype: float64, Fortaleza - CE",-3.734766099999999,-38.5228032,Centro,10
31,52844412,COMUNIDADE CRISTA PAZ E VIDA,20030923.0,2.0,20030923.0,5.0,"AVENIDA A, 854, 1 ETAPA, CONJ. CEARA, 170     60750350.0
191     60851220.0
364     60521102.0
366     60813730.0
433     60341515.0
           ...    
1246    60184180.0
1247    60721340.0
1248    60455472.0
1249    60843020.0
1250    60120002.0
Name: CEP, Length: 2728, dtype: float64, Fortaleza - CE",-3.7705838,-38.6045837,Conjunto Ceará I,42
32,57502007,IGREJA BATISTA AGAPE,20040412.0,8.0,20040412.0,5.0,"RUA VIENA WEYNE, 791, , CIDADE DOS FUNCIONARIOS, 170     60750350.0
191     60851220.0
364     60521102.0
366     60813730.0
433     60341515.0
           ...    
1246    60184180.0
1247    60721340.0
1248    60455472.0
1249    60843020.0
1250    60120002.0
Name: CEP, Length: 2728, dtype: float64, Fortaleza - CE",-3.800981,-38.4871688,Cambeba,53
33,57502007,IGREJA BATISTA AGAPE,19980724.0,2.0,19980724.0,5.0,"RUA PROF. LINO ENCARNACAO, 960, , PARQUELANDIA, 170     60750350.0
191     60851220.0
364     60521102.0
366     60813730.0
433     60341515.0
           ...    
1246    60184180.0
1247    60721340.0
1248    60455472.0
1249    60843020.0
1250    60120002.0
Name: CEP, Length: 2728, dtype: float64, Fortaleza - CE",-3.7439945,-38.5602233,Amadeu Furtado,4
34,57592479,INSTITUTO DAS RELIGIOSAS DE MARIA IMACULADA - ''RMI'' - BRASIL,20141002.0,2.0,20141002.0,5.0,"AVENIDA PADRE ANTONIO TOMAS, 2035, : A;, ALDEOTA, 170     60750350.0
191     60851220.0
364     60521102.0
366     60813730.0
433     60341515.0
           ...    
1246    60184180.0
1247    60721340.0
1248    60455472.0
1249    60843020.0
1250    60120002.0
Name: CEP, Length: 2728, dtype: float64, Fortaleza - CE",-3.7416714,-38.4941934,Aldeota,2
35,57742959,IGREJA CRISTA APOSTOLICA RENASCER EM CRISTO,19951002.0,2.0,19951002.0,5.0,"RUA IDELFONSO ALBANO, 1575, , CENTRO, 170     60750350.0
191     60851220.0
364     60521102.0
366     60813730.0
433     60341515.0
           ...    
1246    60184180.0
1247    60721340.0
1248    60455472.0
1249    60843020.0
1250    60120002.0
Name: CEP, Length: 2728, dtype: float64, Fortaleza - CE",-3.7346854,-38.5136779,Aldeota,2
36,61012019,ASSOCIACAO BRASILEIRA D'A IGREJA DE JESUS CRISTO DOS SANTOS DOS ULTIMOS DIAS,20160315.0,2.0,20160315.0,5.0,"AVENIDA SANTOS DUMONT, 7771, , DE LOURDES, 170     60750350.0
191     60851220.0
364     60521102.0
366     60813730.0
433     60341515.0
           ...    
1246    60184180.0
1247    60721340.0
1248    60455472.0
1249    60843020.0
1250    60120002.0
Name: CEP, Length: 2728, dtype: float64, Fortaleza - CE",-3.747573,-38.4621188,De Lourdes,116
37,61012019,ASSOCIACAO BRASILEIRA D'A IGREJA DE JESUS CRISTO DOS SANTOS DOS ULTIMOS DIAS,19860225.0,2.0,19860225.0,5.0,"AVENIDA AUGUSTO DOS ANJOS, 2250, , PARANGABA, 170     60750350.0
191     60851220.0
364     60521102.0
366     60813730.0
433     60341515.0
           ...    
1246    60184180.0
1247    60721340.0
1248    60455472.0
1249    60843020.0
1250    60120002.0
Name: CEP, Length: 2728, dtype: float64, Fortaleza - CE",-3.7860674,-38.5845109,Bonsucesso,73
38,61012019,ASSOCIACAO BRASILEIRA D'A IGREJA DE JESUS CRISTO DOS SANTOS DOS ULTIMOS DIAS,20050223.0,2.0,20050223.0,5.0,"AVENIDA DEDE BRASIL, 4850, , ITAPERI, 170     60750350.0
191     60851220.0
364     60521102.0
366     60813730.0
433     60341515.0
           ...    
1246    60184180.0
1247    60721340.0
1248    60455472.0
1249    60843020.0
1250    60120002.0
Name: CEP, Length: 2728, dtype: float64, Fortaleza - CE",-3.7958946,-38.5323015,Itaperi,100
39,61012019,ASSOCIACAO BRASILEIRA D'A IGREJA DE JESUS CRISTO DOS SANTOS DOS ULTIMOS DIAS,19961105.0,2.0,19961105.0,5.0,"AVENIDA H (CJ CEARA), 2477, , CONJUNTO CEARA, 170     60750350.0
191     60851220.0
364     60521102.0
366     60813730.0
433     60341515.0
           ...    
1246    60184180.0
1247    60721340.0
1248    60455472.0
1249    60843020.0
1250    60120002.0
Name: CEP, Length: 2728, dtype: float64, Fortaleza - CE",-3.7705838,-38.6045837,Conjunto Ceará I,42
40,61012019,ASSOCIACAO BRASILEIRA D'A IGREJA DE JESUS CRISTO DOS SANTOS DOS ULTIMOS DIAS,20001215.0,2.0,20001215.0,5.0,"AVENIDA DOUTOR SILAS MUNGUBA, 3900, , ITAPERI, 170     60750350.0
191     60851220.0
364     60521102.0
366     60813730.0
433     60341515.0
           ...    
1246    60184180.0
1247    60721340.0
1248    60455472.0
1249    60843020.0
1250    60120002.0
Name: CEP, Length: 2728, dtype: float64, Fortaleza - CE",-3.7907843,-38.539306,Itaperi,100
