,inscricao,contribuinte,end,categoria,lat_gMaps,lng_gMaps,bairro_gMaps,bairro_name,bairro_GID
137,282250-4,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R  PEDRO VERISSIMO 3536  PASSARÉ FORTALEZA - CE CEP:60861680,Outras religiosidades,-3.813223799999999,-38.5284983,Passaré,Passaré,88
138,293286-5,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R  RAQUEL PIRES RIBEIRO 495  MONDUBIM FORTALEZA - CE CEP:60767255,Outras religiosidades,-3.820278,-38.57952,Mondubim,Mondubim,83
139,110549-3,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R  WALTER POMPEU 670  ÁLVARO WEYNE FORTALEZA - CE CEP:60337120,Outras religiosidades,-3.7118086,-38.5683999,Álvaro Weyne,Álvaro Weyne,3
140,494609-0,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R  13 (CJ SITIO DO CORREGO) 500  BARROSO FORTALEZA - CE CEP:60863013,Outras religiosidades,-3.8188482,-38.5722435,Mondubim,Mondubim,83
141,500429-2,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,AV  CONTORNO SUL (CONJ. SAO CRISTOVAO) 600  LTS 03. PL 4 E 5 JANGURUSSU FORTALEZA - CE CEP:60866590,Outras religiosidades,-3.8376622,-38.5194787,Jangurussu,Jangurussu,61
142,162116-5,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R FRE VICENTE SALVADOR 431  PARREÃO FORTALEZA - CE CEP:60410405,Outras religiosidades,-3.7615766,-38.5406953,Parreão,Parreão,30
143,38470-4,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R  CRUZ ABREU 604  TEMPLORELIGIOSO SÃO JOÃO DO TAUAPE FORTALEZA - CE CEP:60130440,Outras religiosidades,-3.7579089,-38.5105413,São João do Tauape,Tauape,35
144,279527-2,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R  FRANCISCO VILELA 290  PARQUE SANTA MARIA FORTALEZA - CE CEP:60861140,Outras religiosidades,-3.7977648,-38.5157922,Boa Vista,Boa Vista/Castelão,95
145,239156-2,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R DR JOAO AMORA 528  MANOEL SÁTIRO FORTALEZA - CE CEP:60713300,Outras religiosidades,-3.7996525,-38.5790689,Manuel Sátiro,Manoel Sátiro,81
146,119161-6,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R  RERIUTABA 1415  VILA VELHA FORTALEZA - CE CEP:60330591,Outras religiosidades,-3.7157048,-38.5912273,Vila Velha,Vila Velha,39
147,133881-1,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R  CARLOS CHAGAS 2595  GRANJA PORTUGAL FORTALEZA - CE CEP:60541555,Outras religiosidades,-3.7750491,-38.6032437,Granja Portugal,Granja Portugal,79
148,403959-9,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R  ARACA 225  BONSUCESSO FORTALEZA - CE CEP:60545380,Outras religiosidades,-3.754594,-38.5846919,Dom Lustosa,Dom Lustosa,43
149,119434-8,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R PRO RAIMUNDO GOMES 515  VILA VELHA FORTALEZA - CE CEP:60347165,Outras religiosidades,-3.7136297,-38.5929587,Jardim Guanabara,Vila Velha,39
150,274413-9,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R SAO FRANCISCO 341  BOM JARDIM FORTALEZA - CE CEP:60545064,Outras religiosidades,-3.7992832,-38.6004801,Jardim Jatobá,Bom Jardim,72
151,319666-6,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,AV PIN ANTONIO BANDEIRA 990  VICENTE PINZON FORTALEZA - CE CEP:60182304,Outras religiosidades,-3.7264197,-38.4630985,Vicente Pinzon,Vicente Pinzón,37
152,253932-2,ASSOCIACAO BIBLICA E CULTURAL DE MARACANAU,R  CARAMURU 269  SERRINHA FORTALEZA - CE CEP:60742175,Outras religiosidades,-3.7891102,-38.5410687,Itaperi,Serrinha,107
153,403886-0,ASSOCIACAO BIBLICA E CULTURAL DE MARACANAU,AV PRO JOSE ARTHUR DE CARVALHO 2605  LAGOA REDONDA FORTALEZA - CE CEP:60831370,Outras religiosidades,-3.8235991,-38.4563999,Lagoa Redonda,Lagoa Redonda,63
154,355023-0,ASSOCIACAO BIBLICA E CULTURAL DO REINO MILENAR,R  SIMAO SANTOS 421  PAUPINA FORTALEZA - CE CEP:60875020,Outras religiosidades,-3.8627006,-38.4932315,São Bento,Paupina,68
155,602505-6,ASSOCIACAO BIBLICA E CULTURAL DO REINO MILENAR,R  ALEXANDRE BARAUNA 80  IGREJA JARDIM AMÉRICA FORTALEZA - CE CEP:60416130,Outras religiosidades,-3.7534144,-38.5453522,Rodolfo Teófilo,Jardim América,19
156,366516-0,ASSOCIACAO BIBLICA E CULTURAL DO REINO MILENAR,R  ALBERTO JUNIOR 79  EDSON QUEIROZ FORTALEZA - CE CEP:60811655,Outras religiosidades,-3.774772,-38.4789553,Edson Queiroz,Edson Queiroz,57
157,51324-5,ASSOCIACAO BIBLICA E CULTURAL DO REINO MILENAR,R  JAIME BENEVOLO 875  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60050081,Outras religiosidades,-3.7398909,-38.5277076,José Bonifacio,José Bonifácio,23
158,100348-8,ASSOCIACAO BIBLICA E CULTURAL DO REINO MILENAR,R  BENTO ALBUQUERQUE 2265  COCÓ FORTALEZA - CE CEP:60192050,Outras religiosidades,-3.7483336,-38.4680299,Cocó,Cocó,11
159,454308-4,ASSOCIACAO BIBLICA E CULTURAL DO REINO MILENAR,R  JOAQUIM FELICIO 1881  GUAJERU FORTALEZA - CE CEP:60843260,Outras religiosidades,-3.8317364,-38.4783921,Guajerú,Guajeru,59
160,258437-9,ASSOCIACAO BIBLICA E CULTURAL NOVA ORDEM DE DEUS,AV  BENJAMIM BRASIL 618  MONDUBIM FORTALEZA - CE CEP:60711442,Outras religiosidades,-3.8049575,-38.5676269,Jardim Cearense,Mondubim,83
161,138392-2,ASSOCIACAO BIBLICA E CULTURAL NOVA ORDEM DE DEUS,R  ANTONIO LAFAYETTE 180  PRESIDENTE KENNEDY FORTALEZA - CE CEP:60356140,Outras religiosidades,-3.734119199999999,-38.5744964,Presidente Kennedy,Presidente Kennedy,33
162,177527-8,ASSOCIACAO BIBLICA E CULTURAL NOVA ORDEM DE DEUS,R TEN WILSON 465  ALTO DA BALANÇA FORTALEZA - CE CEP:60850810,Outras religiosidades,-3.7691051,-38.5127984,Aerolândia,Alto da Balança,93
163,237340-8,ASSOCIACAO BIBLICA E CULTURAL NOVA ORDEM DE DEUS,R  PEDRO MELO (ANTONIO BEZERRA) 757  ANTÔNIO BEZERRA FORTALEZA - CE CEP:60360220,Outras religiosidades,-3.7443284,-38.5916365,Antônio Bezerra,Antônio Bezerra,40
164,18965-0,ASSOCIACAO BIBLICA E CULTURAL NOVA ORDEM DE DEUS,R  NOGUEIRA ACIOLI 435  CENTRO FORTALEZA - CE CEP:60110140,Outras religiosidades,-3.7276933,-38.5160668,Centro,Centro,10
165,10745-0,ASSOCIACAO BIBLICA E CULTURAL NOVA ORDEM DE DEUS,R  CARVALHO MOTA 485  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430760,Outras religiosidades,-3.739226199999999,-38.5442034,Rodolfo Teófilo,Rodolfo Teófilo,34
166,572297-7,ASSOCIACAO BIBLICA E CULTURAL NOVA ORDEM DE DEUS,R  NOGUEIRA ACIOLI 349  ALTOS CENTRO FORTALEZA - CE CEP:60110140,Outras religiosidades,-3.726978,-38.5158742,Centro,Centro,10
167,608312-9,ASSOCIACAO BIBLICA E CULTURAL NOVA ORDEM DE DEUS,AV  L (CONJ. PREF. JOSE WALTER) 1070  PREFEITO JOSÉ WALTER FORTALEZA - CE CEP:60750110,Outras religiosidades,-3.833149999999999,-38.558201,Prefeito José Walter,Prefeito José Walter,89
168,24555-0,ASSOCIACAO BIBLICA E CULTURAL NOVA ORDEM DE DEUS,R  JOAO CORDEIRO 2379  JOAQUIM TÁVORA FORTALEZA - CE CEP:60110535,Outras religiosidades,-3.741309,-38.5181037,Aldeota,Joaquim Távora,22
169,372233-3,ASSOCIACAO BIBLICA E CULTURAL NOVA ORDEM DE DEUS,R  ALCIDES GERARDO 700  CONJUNTO PALMEIRAS FORTALEZA - CE CEP:60870200,Outras religiosidades,-3.8431052,-38.5292759,Conjunto Palmeiras,Conjunto Palmeiras,117
170,309320-4,ASSOCIACAO BIBLICA E CULTURAL NOVO MUNDO DE PAZ,R  ANTONIO IVO 251  HENRIQUE JORGE FORTALEZA - CE CEP:60521025,Outras religiosidades,-3.7584519,-38.5802171,Henrique Jorge,Henrique Jorge,45
171,234663-0,ASSOCIACAO BRAS D'A IG DE JESUS CRISTO DOS ST DOS ULT DIAS,AV SEN FERNANDES TAVORA 2200  DOM LUSTOSA FORTALEZA - CE CEP:60526642,Outras religiosidades,-3.75698,-38.59171,Dom Lustosa,Dom Lustosa,43
172,251244-0,ASSOCIACAO BRASILEIRA DA IGREJA JESUS C SANTOS ULTIMOS DIAS,AV DR SILAS MUNGUBA 3900  SERRINHA FORTALEZA - CE CEP:60714502,Outras religiosidades,-3.7907843,-38.539306,Serrinha,Itaperi,100
173,168600-3,ASSOCIACAO BRASILEIRA DE EDUCACAO E ASSISTENCIA,R  GERMANO FRANCK 567  PARANGABA FORTALEZA - CE CEP:60740020,Católica Apostólica Romana,-3.7776693,-38.5614129,Parangaba,Parangaba,105
174,604493-0,ASSOCIACAO BRASILEIRA DE EDUCACAO E ASSISTENCIA,R  CAIO PRADO 100  PARANGABA FORTALEZA - CE CEP:60720040,Católica Apostólica Romana,-3.7740742,-38.56292029999999,Parangaba,Parangaba,105
176,329100-6,ASSOCIACAO BRASILEIRA IGREJA JESUS CISTO SANTOS ULTIMOS DIAS,AV DR SILAS MUNGUBA 4850  IGREJA SERRINHA FORTALEZA - CE CEP:60714502,Outras religiosidades,-3.7962736,-38.5324786,Serrinha,Itaperi,100
177,259428-5,ASSOCIACAO CATOLICA DE EVANGELIZACAO MARIA PORTA DO CEU,R CEL MANUEL ALBANO 299  Q015 MONDUBIM FORTALEZA - CE CEP:60711465,Católica Apostólica Romana,-3.8072954,-38.5678729,Mondubim,Mondubim,83
178,138074-5,ASSOCIACAO CONGREGACAO DE SANTA CATARINA,R TEN MARQUES 139  PRESIDENTE KENNEDY FORTALEZA - CE CEP:60356150,Católica Apostólica Romana,-3.7322666,-38.5734184,Presidente Kennedy,Presidente Kennedy,33
179,33984-9,ASSOCIACAO DA IGREJA METODISTA,AV VIS DO RIO BRANCO 3545  JOAQUIM TÁVORA FORTALEZA - CE CEP:60055172,Evangélicas,-3.752155799999999,-38.5204227,Joaquim Távora (Fortaleza),Joaquim Távora,22
180,74157-4,ASSOCIACAO DA UNIAO ESTE BRASILEIRO DOS ADVENTISTA DO SETIMO DIA,AV  DO IMPERADOR 891  CENTRO FORTALEZA - CE CEP:60015051,Evangélicas,-3.7291017,-38.53487399999999,Centro,Centro,10
181,846620-3,ASSOCIACAO DA UNIAO ESTE BRASILEIRO DOS ADVENTISTA DO SETIMO DIA,R  PEDRO I 1120  CENTRO FORTALEZA - CE CEP:60035101,Evangélicas,-3.7292454,-38.534502,Centro,Centro,10
182,254138-6,ASSOCIACAO DAS HUMILDES SERVAS DO SENHOR,R MAD ELISA BALDO (EDUARDO MOTA) 771  SERRINHA FORTALEZA - CE CEP:60741450,Católica Apostólica Romana,-3.7852055,-38.5469933,Serrinha,Serrinha,107
183,406930-7,ASSOCIACAO DAS IRMAS MISSIONARIAS,R  ANDALUZIA 785  PEDRAS FORTALEZA - CE CEP:60874610,Católica Apostólica Romana,-3.8865409,-38.5017746,Pedras,Pedras,69
184,18664-3,ASSOCIACAO DAS IRMAS MISSIONARIAS CAPUCHINHAS,R  RODRIGUES JUNIOR 268  CENTRO FORTALEZA - CE CEP:60060000,Católica Apostólica Romana,-3.7271777,-38.5195792,Centro,Centro,10
185,67127-4,ASSOCIACAO DAS IRMAS MISSIONARIAS CAPUCHINHAS,AV  FRANCISCO SA 1833  C JACARECANGA FORTALEZA - CE CEP:60010450,Católica Apostólica Romana,-3.722499,-38.542189,Jacarecanga,Jacarecanga,18
186,185282-5,ASSOCIACAO DAS IRMAS MISSIONARIAS CAPUCHINHAS,AV  ZEZE DIOGO 1110  CAIS DO PORTO FORTALEZA - CE CEP:60180012,Católica Apostólica Romana,-3.716797,-38.4650723,Cais do Porto,Cais do Porto,110
187,270474-9,ASSOCIACAO DAS IRMAS MISSIONARIAS CAPUCHINHAS,AV FRE CIRILO 4241  MESSEJANA FORTALEZA - CE CEP:60840285,Católica Apostólica Romana,-3.8210832,-38.4955386,Messejana,Messejana,65
188,301525-4,ASSOCIACAO DAS IRMAS MISSIONARIAS CAPUCHINHAS,R  PAULO SETUBAL 350  MESSEJANA FORTALEZA - CE CEP:60842250,Católica Apostólica Romana,-3.8208624,-38.4986966,Messejana,Messejana,65
189,66407-3,ASSOCIACAO DAS IRMAS MISSIONARIAS CAPUCHINHAS,R COS ESTELITA 500  CENTRO FORTALEZA - CE CEP:60010260,Católica Apostólica Romana,-3.7254237,-38.5397581,Centro,Centro,10
190,185287-6,ASSOCIACAO DAS IRMAS MISSIONARIAS CAPUCHINHAS,AV  ZEZE DIOGO 1195  CAIS DO PORTO FORTALEZA - CE CEP:60180012,Católica Apostólica Romana,-3.7177141,-38.4642909,Cais do Porto,Cais do Porto,110
191,541314-1,ASSOCIACAO DAS IRMAS MISSIONARIAS CAPUCHINHAS,AV  DA UNIVERSIDADE 1896  A BENFICA FORTALEZA - CE CEP:60020180,Católica Apostólica Romana,-3.734638899999999,-38.5341505,Benfica,Benfica,7
192,53994-5,ASSOCIACAO DAS RELIGIOSAS DA INSTRUCAO CRISTA,R CEL LINHARES 1828  ALDEOTA FORTALEZA - CE CEP:60170075,Católica Apostólica Romana,-3.7427412,-38.4962845,Dionísio Torres,Aldeota,2
193,15736-8,ASSOCIACAO DE ASSISTENCIA SOCIAL CATARINA LABOURE AASCL,AV  DA UNIVERSIDADE 3106  BENFICA FORTALEZA - CE CEP:60020181,Católica Apostólica Romana,-3.7426391,-38.5411056,Damas,Benfica,7
194,73116-1,ASSOCIACAO DE SAO VICENTE DE PAULO DE FORTALEZA,R  VINTE E CINCO DE MARCO 330  CENTRO FORTALEZA - CE CEP:60060120,Católica Apostólica Romana,-3.727433399999999,-38.52199299999999,Centro,Centro,10
195,153903-5,ASSOCIACAO DE SAO VICENTE DE PAULO DE FORTALEZA,R  MARTINS NETO 379  ANTÔNIO BEZERRA FORTALEZA - CE CEP:60360415,Católica Apostólica Romana,-3.7405876,-38.5888689,Antônio Bezerra,Antônio Bezerra,40
196,53107-3,ASSOCIACAO DE SAO VICENTE DE PAULO DE FORTALEZA,AV DES MOREIRA 2211  DIONÍSIO TORRES FORTALEZA - CE CEP:60170173,Católica Apostólica Romana,-3.7454787,-38.5010471,Aldeota,Dionísio Torres,14
197,53108-1,ASSOCIACAO DE SAO VICENTE DE PAULO DE FORTALEZA,AV DES MOREIRA 2211  DIONÍSIO TORRES FORTALEZA - CE CEP:60170173,Católica Apostólica Romana,-3.7454787,-38.5010471,Aldeota,Dionísio Torres,14
198,45026-0,ASSOCIACAO DE SAO VICENTE DE PAULO DE FORTALEZA,R PRC ISABEL 1533  FARIAS BRITO FORTALEZA - CE CEP:60015061,Católica Apostólica Romana,-3.7343865,-38.5374948,Centro,Farias Brito,15
199,53106-5,ASSOCIACAO DE SAO VICENTE DE PAULO DE FORTALEZA,AV DES MOREIRA 2211  DIONÍSIO TORRES FORTALEZA - CE CEP:60170173,Católica Apostólica Romana,-3.7454787,-38.5010471,Aldeota,Dionísio Torres,14
200,102079-0,ASSOCIACAO DOS PREGADORES DO REINO DE DEUS,R  RIBEIRAO NOVO 125  BARRA DO CEARÁ FORTALEZA - CE CEP:60331780,Outras religiosidades,-3.70614,-38.5770029,Barra do Ceará,Barra do Ceará,6
201,297297-2,ASSOCIACAO DOS PREGADORES DO REINO DE DEUS,AV  BERNARDO MANUEL 12750  MONDUBIM FORTALEZA - CE CEP:60762704,Outras religiosidades,-3.8294311,-38.5606458,Mondubim,Mondubim,83
202,367850-4,ASSOCIACAO DOS PREGADORES DO REINO DE DEUS,R  MINAS GERAIS 300  BELA VISTA FORTALEZA - CE CEP:60441135,Outras religiosidades,-3.7529025,-38.5631195,Panamericano,Bela Vista,94
203,232843-7,ASSOCIACAO DOS PREGADORES DO REINO DE DEUS,R  MACEIO 1594  HENRIQUE JORGE FORTALEZA - CE CEP:60521105,Outras religiosidades,-3.7654309,-38.59178,Henrique Jorge,Henrique Jorge,45
204,683869-3,ASSOCIACAO DOS PREGADORES DO REINO DE DEUS,R GAL OTAVIO DA SILVA PARANHOS 385  LOTES08.09 JARDIM IRACEMA FORTALEZA - CE CEP:60341515,Outras religiosidades,-3.721168099999999,-38.5859481,Jardim Iracema,Jardim Iracema,21
205,219874-6,ASSOCIACAO DOS PREGADORES DO REINO DE DEUS,R  MARTINS CARVALHO 3200  21/22 GRANJA LISBOA FORTALEZA - CE CEP:60540182,Outras religiosidades,-3.789533399999999,-38.6234425,Granja Lisboa,Granja Lisboa,78
206,12086-3,ASSOCIACAO EDUCACIONAL MARIA AUXILIADORA,AV  JOAO PESSOA 4279  DAMAS FORTALEZA - CE CEP:60425813,Católica Apostólica Romana,-3.7510265,-38.5478379,Damas,Damas,13
207,12085-5,ASSOCIACAO EDUCACIONAL MARIA AUXILIADORA,AV  JOAO PESSOA 4279  DAMAS FORTALEZA - CE CEP:60425813,Católica Apostólica Romana,-3.7510265,-38.5478379,Damas,Damas,13
208,45305-6,ASSOCIACAO ESCOLA DA BIBLIA,AV  DA UNIVERSIDADE 1838  BENFICA FORTALEZA - CE CEP:60020180,Sem Definição,-3.7343599,-38.5334118,Benfica,Benfica,7
209,265015-0,ASSOCIACAO FACE DE CRISTO,R DR EDMILSON BARROS DE OLIVEIRA   SÃO JOÃO DO TAUAPE FORTALEZA - CE CEP:60135520,Católica Apostólica Romana,-3.7525191,-38.4952076,São João do Tauape,Tauape,35
210,264746-0,ASSOCIACAO FACE DE CRISTO,R DR EDMILSON BARROS DE OLIVEIRA 191  LOTES_1.2.3.4.5_E_6_Q006 SÃO JOÃO DO TAUAPE FORTALEZA - CE CEP:60135520,Católica Apostólica Romana,-3.75366,-38.4963666,São João do Tauape,Tauape,35
211,284958-5,ASSOCIACAO JESUS E MARIA,R  MANUEL CASTELO BRANCO 368  MESSEJANA FORTALEZA - CE CEP:60840015,Católica Apostólica Romana,-3.8320845,-38.4920963,Messejana,Messejana,65
212,600676-0,ASSOCIACAO JESUS E MARIA,R  MANUEL CASTELO BRANCO 368  MESSEJANA FORTALEZA - CE CEP:60840015,Católica Apostólica Romana,-3.8320845,-38.4920963,Messejana,Messejana,65
213,169241-0,ASSOCIACAO LAR ESPIRITA MEIMEI,R  HILTON SANTOS 203  VARJOTA FORTALEZA - CE CEP:60175250,Espírita,-3.7332988,-38.485447,Varjota,Varjota,36
214,735376-6,ASSOCIACAO NOVA JERUSALEM,AV PRS CASTELO BRANCO   PIRAMBÚ FORTALEZA - CE CEP:60010000,Católica Apostólica Romana,-3.7125347,-38.5523643,Pirambu,Pirambu,31
215,105918-1,ASSOCIACAO NOVA JERUSALEM,R  FRANCISCO CALACA 178  BARRA DO CEARÁ FORTALEZA - CE CEP:60334110,Católica Apostólica Romana,-3.7034888,-38.5697391,Cristo Redentor,Barra do Ceará,6
216,24562-3,ASSOCIACAO REG DA CARIDADE DE S VICENTE DE PAULO DO CE,R  JOAO CORDEIRO 2343  JOAQUIM TÁVORA FORTALEZA - CE CEP:60110535,Católica Apostólica Romana,-3.741106,-38.517994,Joaquim Távora (Fortaleza),Joaquim Távora,22
217,73546-9,ASSOCIACAO REG DA CARIDADE DE S VICENTE DE PAULO DO CE,R DEP JOAO LOPES 138  CENTRO FORTALEZA - CE CEP:60060130,Católica Apostólica Romana,-3.726666,-38.5224205,Centro,Centro,10
218,24566-6,ASSOCIACAO REG DA CARIDADE DE S VICENTE DE PAULO DO CE,R  JOAO CORDEIRO 2325  JOAQUIM TÁVORA FORTALEZA - CE CEP:60110535,Católica Apostólica Romana,-3.7407883,-38.5180523,Aldeota,Joaquim Távora,22
219,24592-5,ASSOCIACAO REG DA CARIDADE DE S VICENTE DE PAULO DO CE,R  ANTONIO AUGUSTO 2346  JOAQUIM TÁVORA FORTALEZA - CE CEP:60110533,Católica Apostólica Romana,-3.7412283,-38.5171927,Aldeota,Joaquim Távora,22
220,24565-8,ASSOCIACAO REG DA CARIDADE DE S VICENTE DE PAULO DO CE,R  JOAO CORDEIRO 2331  JOAQUIM TÁVORA FORTALEZA - CE CEP:60110535,Católica Apostólica Romana,-3.741009,-38.517963,Joaquim Távora (Fortaleza),Joaquim Távora,22
221,20456-0,BANCO BRADESCO S.A.,Pç  PORTUGAL 44  ALDEOTA FORTALEZA - CE CEP:60170010,Sem Definição,-3.7333009,-38.4980602,Aldeota,Aldeota,2
222,554044-5,BAPTIST MID-MISSIONS DO BRASIL,R  NELSON COELHO 850  L-8Q-48 LAGOA REDONDA FORTALEZA - CE CEP:60831410,Evangélicas,-3.8322896,-38.46184849999999,Lagoa Redonda,Lagoa Redonda,63
223,35674-3,BETHFAGE COMUNIDADE EVANGELICA,R  JOAQUIM NABUCO 2627  DIONÍSIO TORRES FORTALEZA - CE CEP:60125121,Evangélicas,-3.7482502,-38.5051526,Dionísio Torres,Dionísio Torres,14
224,288485-2,CARMELO SANTA TEREZINHA,AV  ALBERTO CRAVEIRO 1680  BOA VISTA/CASTELÃO FORTALEZA - CE CEP:60861212,Católica Apostólica Romana,-3.7945667,-38.5182035,Dias Macedo,Boa Vista/Castelão,95
225,164746-6,CASA DE NAZARE,R PDE JOAO PIAMARTA 458  BOM FUTURO FORTALEZA - CE CEP:60410315,Católica Apostólica Romana,-3.7591023,-38.5420896,Bom Futuro,Parreão,30
226,164745-8,CASA DE NAZARE,R PDE JOAO PIAMARTA 454  BOM FUTURO FORTALEZA - CE CEP:60410315,Católica Apostólica Romana,-3.7590833,-38.5420807,Bom Futuro,Parreão,30
227,164776-8,CASA DE NAZARE,R PDE JOAO PIAMARTA 465  PARREÃO FORTALEZA - CE CEP:60410315,Católica Apostólica Romana,-3.7589814,-38.5417621,Bom Futuro,Parreão,30
228,45827-9,CASA DOS PADRES SACRAMENTINO,R GAL CLARINDO DE QUEIROZ 1231  CENTRO FORTALEZA - CE CEP:60035130,Católica Apostólica Romana,-3.7312987,-38.5350414,Centro,Centro,10
229,207171-1,CASAS FRATERNAIS O NAZARENO,R  GUILHERME PERDIGAO 89  PARANGABA FORTALEZA - CE CEP:60720420,Sem Definição,-3.7745212,-38.5707585,Parangaba,Parangaba,105
230,97698-9,CENTRO COMUNITARIO CRISTO REDENTOR,R  CURA DARS 21  CRISTO REDENTOR FORTALEZA - CE CEP:60311010,Católica Apostólica Romana,-3.7067297,-38.5576292,Cristo Redentor,Cristo Redentor,12
231,93551-4,CENTRO COMUNITARIO CRISTO REDENTOR,R  GOMES PASSOS 740  ÁLVARO WEYNE FORTALEZA - CE CEP:60335060,Católica Apostólica Romana,-3.7103858,-38.5630433,Cristo Redentor,Álvaro Weyne,3
232,533786-0,CENTRO DE APOIO AO DESENVOLVIMENTO ESPIRITUAL,R BAR DE SOBRAL 831  MONTESE FORTALEZA - CE CEP:60420775,Espírita,-3.765943499999999,-38.55647,Montese,Montese,103
233,18062-9,CENTRO DE EDUCACAO TECNICA E CULTURAL,R  NOGUEIRA ACIOLI 863  CENTRO FORTALEZA - CE CEP:60110140,Católica Apostólica Romana,-3.7313528,-38.517017,Centro,Centro,10
234,6282-0,CENTRO ESPIRITA A SAMARITANA,R  JOSE FACANHA 648  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430005,Espírita,-3.752039,-38.556993,Rodolfo Teófilo,Rodolfo Teófilo,34
235,162550-0,CENTRO ESPIRITA ANTONIO ALVES DE LINHARES,AV PRO GOMES DE MATOS 955  PARREÃO FORTALEZA - CE CEP:60410357,Espírita,-3.7613084,-38.5456425,Jardim América,Parreão,30
236,749-8,CENTRO ESPIRITA BEZERRA DE MENEZES,R DOM MANUEL DE MEDEIROS 927  PARQUE ARAXÁ FORTALEZA - CE CEP:60450605,Espírita,-3.7368615,-38.5521831,Parque Araxá,Parque Araxá,28
237,236785-8,CENTRO ESPIRITA CAMILLE FLAMMARION,R  HUGO VITOR 670  ANTÔNIO BEZERRA FORTALEZA - CE CEP:60360820,Espírita,-3.7456582,-38.5909157,Antônio Bezerra,Antônio Bezerra,40
238,19064-0,CENTRO ESPIRITA CASA DO CAMINHO,R  MOMBACA 157  ALDEOTA FORTALEZA - CE CEP:60160190,Espírita,-3.7291383,-38.5135065,Aldeota,Aldeota,2
239,42232-0,CENTRO ESPÍRITA FRANCISCO DE ASSIS,R SEN CATUNDA 117  BENFICA FORTALEZA - CE CEP:60015320,Espírita,-3.7399332,-38.5365063,Benfica,Benfica,7
240,284006-5,CENTRO ESPIRITA JESUS DE NAZARE,AV PRS COSTA E SILVA 5255  PASSARÉ FORTALEZA - CE CEP:60862515,Espírita,-3.827709,-38.5333,Mondubim,Passaré,88
241,80761-3,CENTRO ESPIRITA JOAO BATISTA,R  AMETISTA 482  CARLITO PAMPLONA FORTALEZA - CE CEP:60310053,Espírita,-3.721538799999999,-38.5530746,Carlito Pamplona,Carlito Pamplona,9
242,149771-5,CENTRO ESPIRITA JOAO O EVANGELISTA,R  AMADEU FURTADO 78  PARQUELÂNDIA FORTALEZA - CE CEP:60450135,Espírita,-3.7364521,-38.5640585,Parquelândia,Parquelândia,29
243,277825-4,CENTRO ESPIRITA LAR DA DIVINA LUZ,R  JULIO LIMA 210  Q012 CIDADE DOS FUNCIONÁRIOS FORTALEZA - CE CEP:60822500,Espírita,-3.7978916,-38.5039005,Cidade dos Funcionários,Cidade dos Funcionários,54
244,606228-8,CENTRO ESPIRITA LAR DOS HUMILDES,R CON DE CASTRO 920  PARANGABA FORTALEZA - CE CEP:60720096,Espírita,-3.7808522,-38.5698044,Vila Peri,Parangaba,105
245,64515-0,CENTRO ESPIRITA PEDRO O APOSTOLO DE JESUS,R  DOS ARARIUS 245  PRAIA DE IRACEMA FORTALEZA - CE CEP:60060320,Espírita,-3.722172799999999,-38.5138348,Praia de Iracema,Praia de Iracema,32
246,26520-9,CENTRO JUVENIL DOM BOSCO,R  VICENTE SPINDOLA 39  VILA UNIÃO FORTALEZA - CE CEP:60420211,Católica Apostólica Romana,-3.7691462,-38.5386639,Montese,Vila União,109
247,128223-9,CHILDFUND BRASIL,R  ALBERTO FERREIRA 564  JARDIM IRACEMA FORTALEZA - CE CEP:60341140,Sem Definição,-3.722116,-38.5834361,Jardim Iracema,Jardim Iracema,21
248,44459-6,CIRCULO DE TRAB. CRIST. DE OTAVIO BONFIM,R  CARLOS SEVERO 171  FARIAS BRITO FORTALEZA - CE CEP:60011100,Sem Definição,-3.732496,-38.5415923,Farias Brito,Farias Brito,15
249,54884-7,COLEGIO BATISTA SANTOS DUMONT,R DES LEITE ALBUQUERQUE 1080  ALDEOTA FORTALEZA - CE CEP:60150150,Evangélicas,-3.7392087,-38.49302,Aldeota,Aldeota,2
250,225967-2,COLEGIO IRMA MARIA MONTENEGRO CIMM,R  RUI MONTE 331  ANTÔNIO BEZERRA FORTALEZA - CE CEP:60360640,Católica Apostólica Romana,-3.7421485,-38.5872581,Antônio Bezerra,Antônio Bezerra,40
