,inscricao,contribuinte,end,categoria,lat_gMaps,lng_gMaps,bairro_gMaps,bairro_name,bairro_GID
610,278866-7,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  GUADALAJARA 477  PARQUE SANTA MARIA FORTALEZA - CE CEP:60861130,Evangélicas,-3.7969519,-38.5173653,Boa Vista,Boa Vista/Castelão,95
611,571574-1,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,TV  JOSE LOURENCO 50  SÃO GERARDO FORTALEZA - CE CEP:60760552,Evangélicas,-3.8304308,-38.5621909,Mondubim,Mondubim,83
612,496086-6,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R DR ATUALPA 336  MONTE CASTELO FORTALEZA - CE CEP:60320563,Evangélicas,-3.722358,-38.559164,Monte Castelo,Monte Castelo,25
613,66706-4,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  LIBERATO BARROSO 971  25 CENTRO FORTALEZA - CE CEP:60030161,Evangélicas,-3.7261523,-38.5359138,Centro,Centro,10
614,127011-7,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  MARIO CAMPOS 617  JARDIM GUANABARA FORTALEZA - CE CEP:60346215,Evangélicas,-3.7231437,-38.5875184,Jardim Iracema,Jardim Guanabara,20
615,143399-7,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R PRO JOAQUIM ANTONIO 538  VILA ELLERY FORTALEZA - CE CEP:60320295,Evangélicas,-3.7255153,-38.5645917,Bairro Ellery,Ellery,38
616,206013-2,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  MELO OLIVEIRA 754  JÓQUEI CLUBE FORTALEZA - CE CEP:60520315,Evangélicas,-3.772138899999999,-38.5782078,Jóquei Clube,Jóquei Clube,101
617,110174-9,IGREJA EVANGELICA ASSEMBLEIA DE DEUS BETESDA,AV DR THEBERGE 1718  ÁLVARO WEYNE FORTALEZA - CE CEP:60337578,Evangélicas,-3.7161546,-38.5655451,Cristo Redentor,Álvaro Weyne,3
618,195678-7,IGREJA EVANGELICA ASSEMBLEIA DE DEUS DE BELA VISTA,R  CARLOS CHAGAS 269 OUTRO IGREJA BONSUCESSO FORTALEZA - CE CEP:60541704,Evangélicas,-3.7810249,-38.58278,Bonsucesso,Bonsucesso,73
619,203974-5,IGREJA EVANGELICA ASSEMBLEIA DE DEUS DE BELA VISTA,R  VIRIATO RIBEIRO 436  BELA VISTA FORTALEZA - CE CEP:60442642,Evangélicas,-3.7527688,-38.5586331,Bela Vista,Bela Vista,94
620,362703-9,IGREJA EVANGELICA ASSEMBLEIA DE DEUS DE MONTESE,TV  ESPERANCA 54  CONJUNTO ESPERANÇA FORTALEZA - CE CEP:60763633,Evangélicas,-3.8136092,-38.5853447,Conjunto Esperança,Novo Mondubim,120
621,274636-0,IGREJA EVANGELICA ASSEMBLEIA DE DEUS DE MONTESE,R  VALDEMAR PAES   SN-7 SIQUEIRA FORTALEZA - CE CEP:60731736,Evangélicas,-3.7906575,-38.6009196,Não identificado,Bom Jardim,72
622,206503-7,IGREJA EVANGELICA ASSEMBLEIA DE DEUS DE MONTESE,R  PERDIGAO DE OLIVEIRA 746  JÓQUEI CLUBE FORTALEZA - CE CEP:60520210,Evangélicas,-3.7747316,-38.57612659999999,Jóquei Clube,Jóquei Clube,101
623,229569-5,IGREJA EVANGELICA ASSEMBLEIA DE DEUS DE MONTESE,R  15 DE NOVEMBRO 957  MONTESE FORTALEZA - CE CEP:60421035,Evangélicas,-3.7703305,-38.5518305,Montese,Montese,103
624,451233-2,IGREJA EVANGELICA ASSEMBLEIA DE DEUS DE MONTESE,R  TRAJANO DE MORAIS 575  PASSARÉ FORTALEZA - CE CEP:60861710,Evangélicas,-3.8129155,-38.524055,Passaré,Passaré,88
625,251895-3,IGREJA EVANGELICA ASSEMBLEIA DE DEUS DE MONTESE,AV DR SILAS MUNGUBA 3265  ITAPERI FORTALEZA - CE CEP:60741005,Evangélicas,-3.7885837,-38.5446454,Serrinha,Serrinha,107
626,499278-4,IGREJA EVANGELICA ASSEMBLEIA DE DEUS DE MONTESE,R  PARAIBA 892  DEMÓCRITO ROCHA FORTALEZA - CE CEP:60440130,Evangélicas,-3.7593351,-38.5675448,Demócrito Rocha,Demócrito Rocha,97
627,165010-6,IGREJA EVANGELICA ASSEMBLEIA DE DEUS DE MONTESE,R  AFRODISIO GONDIM 247  DAMAS FORTALEZA - CE CEP:60416420,Evangélicas,-3.7573463,-38.5456142,Bom Futuro,Bom Futuro,8
628,727810-1,IGREJA EVANGELICA ASSEMBLEIA DE DEUS FILADELFIA-MIN FILADELF,R  ALFA   Q002 L133 MARAPONGA FORTALEZA - CE CEP:60711210,Evangélicas,-3.794238,-38.5702144,Maraponga,Maraponga,82
