inscricao,contribuinte,end,categoria,lat_gMaps,lng_gMaps,bairro_gMaps,bairro_name,bairro_GID
24566-6,ASSOCIACAO REG DA CARIDADE DE S VICENTE DE PAULO DO CE,R  JOAO CORDEIRO 2325  JOAQUIM TÁVORA FORTALEZA - CE CEP:60110535,Católica Apostólica Romana,-37.407.883,-385.180.523,Aldeota,Joaquim Távora,22
24592-5,ASSOCIACAO REG DA CARIDADE DE S VICENTE DE PAULO DO CE,R  ANTONIO AUGUSTO 2346  JOAQUIM TÁVORA FORTALEZA - CE CEP:60110533,Católica Apostólica Romana,-37.412.283,-385.171.927,Aldeota,Joaquim Távora,22
24565-8,ASSOCIACAO REG DA CARIDADE DE S VICENTE DE PAULO DO CE,R  JOAO CORDEIRO 2331  JOAQUIM TÁVORA FORTALEZA - CE CEP:60110535,Católica Apostólica Romana,-3.741.009,-38.517.963,Joaquim Távora (Fortaleza),Joaquim Távora,22
20456-0,BANCO BRADESCO S.A.,Pç  PORTUGAL 44  ALDEOTA FORTALEZA - CE CEP:60170010,Sem Definição,-37.333.009,-384.980.602,Aldeota,Aldeota,2
554044-5,BAPTIST MID-MISSIONS DO BRASIL,R  NELSON COELHO 850  L-8Q-48 LAGOA REDONDA FORTALEZA - CE CEP:60831410,Evangélicas,-38.322.896,-3.846.184.849.999.990,Lagoa Redonda,Lagoa Redonda,63
35674-3,BETHFAGE COMUNIDADE EVANGELICA,R  JOAQUIM NABUCO 2627  DIONÍSIO TORRES FORTALEZA - CE CEP:60125121,Evangélicas,-37.482.502,-385.051.526,Dionísio Torres,Dionísio Torres,14
288485-2,CARMELO SANTA TEREZINHA,AV  ALBERTO CRAVEIRO 1680  BOA VISTA/CASTELÃO FORTALEZA - CE CEP:60861212,Católica Apostólica Romana,-37.945.667,-385.182.035,Dias Macedo,Boa Vista/Castelão,95
164746-6,CASA DE NAZARE,R PDE JOAO PIAMARTA 458  BOM FUTURO FORTALEZA - CE CEP:60410315,Católica Apostólica Romana,-37.591.023,-385.420.896,Bom Futuro,Parreão,30
164745-8,CASA DE NAZARE,R PDE JOAO PIAMARTA 454  BOM FUTURO FORTALEZA - CE CEP:60410315,Católica Apostólica Romana,-37.590.833,-385.420.807,Bom Futuro,Parreão,30
164776-8,CASA DE NAZARE,R PDE JOAO PIAMARTA 465  PARREÃO FORTALEZA - CE CEP:60410315,Católica Apostólica Romana,-37.589.814,-385.417.621,Bom Futuro,Parreão,30
45827-9,CASA DOS PADRES SACRAMENTINO,R GAL CLARINDO DE QUEIROZ 1231  CENTRO FORTALEZA - CE CEP:60035130,Católica Apostólica Romana,-37.312.987,-385.350.414,Centro,Centro,10
207171-1,CASAS FRATERNAIS O NAZARENO,R  GUILHERME PERDIGAO 89  PARANGABA FORTALEZA - CE CEP:60720420,Sem Definição,-37.745.212,-385.707.585,Parangaba,Parangaba,105
97698-9,CENTRO COMUNITARIO CRISTO REDENTOR,R  CURA DARS 21  CRISTO REDENTOR FORTALEZA - CE CEP:60311010,Católica Apostólica Romana,-37.067.297,-385.576.292,Cristo Redentor,Cristo Redentor,12
93551-4,CENTRO COMUNITARIO CRISTO REDENTOR,R  GOMES PASSOS 740  ÁLVARO WEYNE FORTALEZA - CE CEP:60335060,Católica Apostólica Romana,-37.103.858,-385.630.433,Cristo Redentor,Álvaro Weyne,3
533786-0,CENTRO DE APOIO AO DESENVOLVIMENTO ESPIRITUAL,R BAR DE SOBRAL 831  MONTESE FORTALEZA - CE CEP:60420775,Espírita,-3.765.943.499.999.990,-3.855.647,Montese,Montese,103
18062-9,CENTRO DE EDUCACAO TECNICA E CULTURAL,R  NOGUEIRA ACIOLI 863  CENTRO FORTALEZA - CE CEP:60110140,Católica Apostólica Romana,-37.313.528,-38.517.017,Centro,Centro,10
6282-0,CENTRO ESPIRITA A SAMARITANA,R  JOSE FACANHA 648  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430005,Espírita,-3.752.039,-38.556.993,Rodolfo Teófilo,Rodolfo Teófilo,34
162550-0,CENTRO ESPIRITA ANTONIO ALVES DE LINHARES,AV PRO GOMES DE MATOS 955  PARREÃO FORTALEZA - CE CEP:60410357,Espírita,-37.613.084,-385.456.425,Jardim América,Parreão,30
749-8,CENTRO ESPIRITA BEZERRA DE MENEZES,R DOM MANUEL DE MEDEIROS 927  PARQUE ARAXÁ FORTALEZA - CE CEP:60450605,Espírita,-37.368.615,-385.521.831,Parque Araxá,Parque Araxá,28
236785-8,CENTRO ESPIRITA CAMILLE FLAMMARION,R  HUGO VITOR 670  ANTÔNIO BEZERRA FORTALEZA - CE CEP:60360820,Espírita,-37.456.582,-385.909.157,Antônio Bezerra,Antônio Bezerra,40
19064-0,CENTRO ESPIRITA CASA DO CAMINHO,R  MOMBACA 157  ALDEOTA FORTALEZA - CE CEP:60160190,Espírita,-37.291.383,-385.135.065,Aldeota,Aldeota,2
42232-0,CENTRO ESPÍRITA FRANCISCO DE ASSIS,R SEN CATUNDA 117  BENFICA FORTALEZA - CE CEP:60015320,Espírita,-37.399.332,-385.365.063,Benfica,Benfica,7
284006-5,CENTRO ESPIRITA JESUS DE NAZARE,AV PRS COSTA E SILVA 5255  PASSARÉ FORTALEZA - CE CEP:60862515,Espírita,-3.827.709,-385.333,Mondubim,Passaré,88
80761-3,CENTRO ESPIRITA JOAO BATISTA,R  AMETISTA 482  CARLITO PAMPLONA FORTALEZA - CE CEP:60310053,Espírita,-3.721.538.799.999.990,-385.530.746,Carlito Pamplona,Carlito Pamplona,9
149771-5,CENTRO ESPIRITA JOAO O EVANGELISTA,R  AMADEU FURTADO 78  PARQUELÂNDIA FORTALEZA - CE CEP:60450135,Espírita,-37.364.521,-385.640.585,Parquelândia,Parquelândia,29
277825-4,CENTRO ESPIRITA LAR DA DIVINA LUZ,R  JULIO LIMA 210  Q012 CIDADE DOS FUNCIONÁRIOS FORTALEZA - CE CEP:60822500,Espírita,-37.978.916,-385.039.005,Cidade dos Funcionários,Cidade dos Funcionários,54
606228-8,CENTRO ESPIRITA LAR DOS HUMILDES,R CON DE CASTRO 920  PARANGABA FORTALEZA - CE CEP:60720096,Espírita,-37.808.522,-385.698.044,Vila Peri,Parangaba,105
64515-0,CENTRO ESPIRITA PEDRO O APOSTOLO DE JESUS,R  DOS ARARIUS 245  PRAIA DE IRACEMA FORTALEZA - CE CEP:60060320,Espírita,-3.722.172.799.999.990,-385.138.348,Praia de Iracema,Praia de Iracema,32
26520-9,CENTRO JUVENIL DOM BOSCO,R  VICENTE SPINDOLA 39  VILA UNIÃO FORTALEZA - CE CEP:60420211,Católica Apostólica Romana,-37.691.462,-385.386.639,Montese,Vila União,109
128223-9,CHILDFUND BRASIL,R  ALBERTO FERREIRA 564  JARDIM IRACEMA FORTALEZA - CE CEP:60341140,Sem Definição,-3.722.116,-385.834.361,Jardim Iracema,Jardim Iracema,21
44459-6,CIRCULO DE TRAB. CRIST. DE OTAVIO BONFIM,R  CARLOS SEVERO 171  FARIAS BRITO FORTALEZA - CE CEP:60011100,Sem Definição,-3.732.496,-385.415.923,Farias Brito,Farias Brito,15
54884-7,COLEGIO BATISTA SANTOS DUMONT,R DES LEITE ALBUQUERQUE 1080  ALDEOTA FORTALEZA - CE CEP:60150150,Evangélicas,-37.392.087,-3.849.302,Aldeota,Aldeota,2
225967-2,COLEGIO IRMA MARIA MONTENEGRO CIMM,R  RUI MONTE 331  ANTÔNIO BEZERRA FORTALEZA - CE CEP:60360640,Católica Apostólica Romana,-37.421.485,-385.872.581,Antônio Bezerra,Antônio Bezerra,40
260193-1,COLEGIO SANTO INACIO,R PDE FRANCISCO PITA 1392  ENGENHEIRO LUCIANO CAVALCANTE FORTALEZA - CE CEP:60821050,Católica Apostólica Romana,-37.839.862,-384.932.618,Jardim Das Oliveiras,Engenheiro Luciano Cavalcante,58
426169-0,COMBONIANOS NORDESTE,R  MATOS VASCONCELLOS 1591  BELA VISTA FORTALEZA - CE CEP:60442103,Católica Apostólica Romana,-37.573.071,-385.558.594,Damas,Bela Vista,94
30710-6,COMUNIDADE CATOLICA MISSIONARIA UM NOVO CAMINHO,R  NUNES VALENTE 2160  DIONÍSIO TORRES FORTALEZA - CE CEP:60125071,Católica Apostólica Romana,-3.743.344,-385.061.239,Dionísio Torres,Dionísio Torres,14
802169-4,COMUNIDADE CATOLICA SHALOM,R  MARIA TOMASIA 72  B ALDEOTA FORTALEZA - CE CEP:60150170,Católica Apostólica Romana,-37.343.748,-385.013.508,Aldeota,Aldeota,2
19908-7,COMUNIDADE CATOLICA SHALOM,R  MARIA TOMASIA 72  ALDEOTA FORTALEZA - CE CEP:60150170,Católica Apostólica Romana,-37.343.748,-385.013.508,Aldeota,Aldeota,2
802168-6,COMUNIDADE CATOLICA SHALOM,R  MARIA TOMASIA 72  A ALDEOTA FORTALEZA - CE CEP:60150170,Católica Apostólica Romana,-37.343.748,-385.013.508,Aldeota,Aldeota,2
197900-0,COMUNIDADE CATOLICA VEU DE MARIA PARA JESUS,R  LUIS DE CASTRO 390  BONSUCESSO FORTALEZA - CE CEP:60520485,Católica Apostólica Romana,-37.777.652,-385.786.588,Bonsucesso,Bonsucesso,73
700043-0,COMUNIDADE CRISTA PEDRA ANGULAR,R  HONORINO MAIA 77  PARQUE SANTA MARIA FORTALEZA - CE CEP:60873000,Evangélicas,-38.505.311,-385.014.231,Ancuri,Parque Santa Maria,102
180117-1,COMUNIDADE EVANGELICA TEMPLO DOS PRINCIPES,R CAP ARAGAO 427  ALTO DA BALANÇA FORTALEZA - CE CEP:60851150,Evangélicas,-37.649.593,-385.144.916,Aerolândia,Alto da Balança,93
676591-2,COMUNIDADE EVANGELICA VERDADEIROS ADORADORES,AV  EDILSON BRASIL SOARES 1181  PARQUE MANIBURA FORTALEZA - CE CEP:60834005,Evangélicas,-37.888.177,-384.756.902,Edson Queiroz,Edson Queiroz,57
50771-7,CONFERENCIA DOS RELIGIOSOS DO BRASIL,R MAJ FACUNDO 1621  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60025101,Católica Apostólica Romana,-37.371.025,-385.308.628,Centro,José Bonifácio,23
48403-2,CONFERENCIA NACIONAL DOS BISPOS DO BRASIL,AV  FELINO BARROSO 405  FÁTIMA FORTALEZA - CE CEP:60050130,Católica Apostólica Romana,-37.461.725,-385.280.564,Fátima,Fátima,16
319284-9,CONGREGACAO CRISTA NO BRASIL,R  DAS PEDRINHAS (GENIBAU) 1211  GENIBAÚ FORTALEZA - CE CEP:60534030,Evangélicas,-37.581.727,-385.995.937,Genibaú,Genibaú,44
188822-6,CONGREGACAO CRISTA NO BRASIL,R  ANTONIO IVO 1438  JOÃO XXIII FORTALEZA - CE CEP:60525280,Evangélicas,-37.684.603,-3.858.580.070.000.000,João XXIII,João XXIII,46
177418-2,CONGREGACAO CRISTA NO BRASIL,R TEN WILSON 179  A ALTO DA BALANÇA FORTALEZA - CE CEP:60850810,Evangélicas,-37.696.462,-385.154.556,Aerolândia,Alto da Balança,93
723745-6,CONGREGACAO CRISTA NO BRASIL,R PAT SAMUEL MUNGUBA 1000  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430372,Evangélicas,-37.474.824,-38.549.578,Rodolfo Teófilo,Rodolfo Teófilo,34
304203-0,CONGREGACAO CRISTA NO BRASIL,R  CODO 125  JANGURUSSU FORTALEZA - CE CEP:60870430,Evangélicas,-3.847.592,-38.521.463,Jangurussu,Conjunto Palmeiras,117
8668-1,CONGREGACAO CRISTA NO BRASIL,R PASTOR SAMUEL MUNGUBA 1000  A RODOLFO TEÓFILO FORTALEZA - CE CEP:60430372,Evangélicas,-37.474.824,-38.549.578,Rodolfo Teófilo,Rodolfo Teófilo,34
123140-5,CONGREGACAO CRISTA NO BRASIL,R  ALBERTO FERREIRA 1513  JARDIM IRACEMA FORTALEZA - CE CEP:60341140,Evangélicas,-37.278.556,-385.836.907,Jardim Iracema,Jardim Iracema,21
472479-8,CONGREGACAO CRISTA NO BRASIL,R DR JOAO AMORA 541  MANOEL SÁTIRO FORTALEZA - CE CEP:60713300,Evangélicas,-38.001.498,-385.792.739,Manuel Sátiro,Manoel Sátiro,81
354109-6,CONGREGACAO CRISTA NO BRASIL,AV  MOZART PINHEIRO DE LUCENA 2705  QUINTINO CUNHA FORTALEZA - CE CEP:60352645,Evangélicas,-37.283.684,-385.983.858,Vila Velha,Quintino Cunha,48
309530-4,CONGREGACAO CRISTA NO BRASIL,R  ANTONIO IVO 1440  JOÃO XXIII FORTALEZA - CE CEP:60525280,Evangélicas,-3.768.689,-3.858.567.499.999.990,João XXIII,João XXIII,46
415150-0,CONGREGACAO CRISTA NO BRASIL,R  LUIZA MIRANDA COELHO 200  ENGENHEIRO LUCIANO CAVALCANTE FORTALEZA - CE CEP:60811110,Evangélicas,-37.720.156,-384.949.269,Luciano Cavalcante,Engenheiro Luciano Cavalcante,58
294505-3,CONGREGACAO CRISTA NO BRASIL,R DR JOAO AMORA 647  MANOEL SÁTIRO FORTALEZA - CE CEP:60713300,Evangélicas,-38.000.353,-385.793.762,Manuel Sátiro,Manoel Sátiro,81
914158-8,CONGREGACAO CRISTA NO BRASIL,R  RIBEIRAO NOVO 137  BARRA DO CEARÁ FORTALEZA - CE CEP:60331780,Evangélicas,-3.706.716,-385.773.401,Barra do Ceará,Barra do Ceará,6
188785-8,CONGREGACAO CRISTA NO BRASIL,R  NOEL ROSA 1801  JOÃO XXIII FORTALEZA - CE CEP:60525310,Evangélicas,-37.683.826,-3.858.623.590.000.000,Henrique Jorge,João XXIII,46
281966-0,CONGREGACAO CRISTA NO BRASIL,R  TRAJANO DE MORAIS 1010  PASSARÉ FORTALEZA - CE CEP:60861710,Evangélicas,-38.177.923,-385.257.001,Passaré,Passaré,88
271621-6,CONGREGACAO CRISTA NO BRASIL,AV TEN JOSE NEWTON 513  MESSEJANA FORTALEZA - CE CEP:60841250,Evangélicas,-38.270.294,-384.918.415,Messejana,Messejana,65
296920-3,CONGREGACAO CRISTA NO BRASIL,R TEN MATIAS PEIXOTO 120  PREFEITO JOSÉ WALTER FORTALEZA - CE CEP:60760090,Evangélicas,-38.363.204,-385.623.695,Prefeito José Walter,Prefeito José Walter,89
211998-6,CONGREGACAO CRISTA NO BRASIL,R  EDSON MARTINS 910  GRANJA LISBOA FORTALEZA - CE CEP:60543454,Evangélicas,-37.900.923,-385.999.615,Bom Jardim,Bom Jardim,72
177419-0,CONGREGACAO CRISTA NO BRASIL,R TEN WILSON 179  ALTO DA BALANÇA FORTALEZA - CE CEP:60850810,Evangélicas,-37.696.462,-385.154.556,Aerolândia,Alto da Balança,93
301559-9,CONGREGACAO DAS FILHAS DE SANTA TERESA DE JESUS,R MAD ANA COUTO 147  MESSEJANA FORTALEZA - CE CEP:60842390,Católica Apostólica Romana,-38.177.303,-384.993.343,Messejana,Messejana,65
70731-7,CONGREGAÇÃO DAS FILHAS DO CORAÇÃO IMACULADO DE MARIA,R COS TRISTAO 73  CENTRO FORTALEZA - CE CEP:60050100,Católica Apostólica Romana,-37.350.783,-385.251.914,Centro,Centro,10
8328-3,CONGREGACAO DAS IRMANZINHAS DA IMACULADA CONCEICAO,R MAJ WEYNE 1624  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430450,Sem Definição,-37.409.708,-385.527.056,Rodolfo Teófilo,Rodolfo Teófilo,34
3559-9,CONGREGACAO DAS IRMAS DE SANTA ELISABETE,R  VINICIUS DE MORAES 100  SÃO GERARDO FORTALEZA - CE CEP:60325120,Católica Apostólica Romana,-37.314.261,-385.554.649,São Gerardo,São Gerardo,1
254552-7,CONGREGACAO DAS IRMAS DOS ANJOS,R CON LIMA SUCUPIRA 609  SERRINHA FORTALEZA - CE CEP:60741255,Católica Apostólica Romana,-3.778.279.999.999.990,-38.551.089,Serrinha,Serrinha,107
397225-9,CONGREGACAO DAS IRMAS MISSIONARIAS DA IMACULADA CONCEICAO,AV PRO JOSE ARTHUR DE CARVALHO 1250  LAGOA REDONDA FORTALEZA - CE CEP:60831370,Católica Apostólica Romana,-3.827.445.099.999.990,-384.684.728,Lagoa Redonda,Lagoa Redonda,63
20735-7,CONGREGACAO DAS MISSIONARIAS REPARADORAS DO C DE JESUS,R MON BRUNO 751  MEIRELES FORTALEZA - CE CEP:60115190,Católica Apostólica Romana,-37.290.783,-385.082.908,Meireles,Meireles,24
208994-7,CONGREGACAO DAS RELIGIOSAS SAGRADA FACE,R  RIO GRANDE DO SUL 1728  JÓQUEI CLUBE FORTALEZA - CE CEP:60440214,Católica Apostólica Romana,-376.317,-3.857.032,Jóquei Clube,Jóquei Clube,101
208903-3,CONGREGACAO DAS RELIGIOSAS SAGRADA FACE,R  RIO GRANDE DO SUL 1837  JÓQUEI CLUBE FORTALEZA - CE CEP:60440214,Católica Apostólica Romana,-37.640.585,-385.708.084,Jóquei Clube,Jóquei Clube,101
209011-2,CONGREGACAO DAS RELIGIOSAS SAGRADA FACE,R  RIO GRANDE DO SUL 142  JÓQUEI CLUBE FORTALEZA - CE CEP:60441145,Católica Apostólica Romana,-37.502.982,-385.619.472,Bela Vista,Bela Vista,94
150090-2,CONGREGACAO DOS SACERDOTES DO SAGRADO CORACAO DE JESUS,R  SILVIO ROMERO 370  FLORESTA FORTALEZA - CE CEP:60336100,Católica Apostólica Romana,-37.212.726,-385.718.317,Álvaro Weyne,Floresta,17
150091-0,CONGREGACAO DOS SACERDOTES DO SAGRADO CORACAO DE JESUS,R  SILVIO ROMERO 370  FLORESTA FORTALEZA - CE CEP:60336100,Católica Apostólica Romana,-37.212.726,-385.718.317,Álvaro Weyne,Floresta,17
142768-7,CONGREGACAO DOS SACERDOTES DO SAGRADO CORACAO DE JESUS,AV DR THEBERGE 2288  PRESIDENTE KENNEDY FORTALEZA - CE CEP:60355000,Católica Apostólica Romana,-3.724.536,-3.856.881.630.000.000,Presidente Kennedy,Presidente Kennedy,33
13160-1,CONGREGACAO EVANGELICA LUTERANA ESPERANNCA,R  CARLOS CAMARA 1638  DAMAS FORTALEZA - CE CEP:60425810,Evangélicas,-37.498.343,-385.458.445,Benfica,Damas,13
551007-4,CONGREGACAO FILHAS DE SANTA ANA,R PDE PEDRO DE ALENCAR 781  MESSEJANA FORTALEZA - CE CEP:60840282,Católica Apostólica Romana,-38.344.484,-384.938.722,Messejana,Messejana,65
297684-6,CONGREGACAO PENIEL DE FORTALEZA,R  ALZIRA PARENTE 380  LAGOA REDONDA FORTALEZA - CE CEP:60000000,Outras religiosidades,-3.826.968.399.999.990,-384.546.425,Lagoa Redonda,Lagoa Redonda,63
50987-6,CONGREGACAO PENIEL DE FORTALEZA,R  DA ASSUNCAO 939  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60050011,Outras religiosidades,-37.382.995,-385.296.364,José Bonifacio,José Bonifácio,23
210265-0,CONGREGACAO REDENTORISTA DO NORTE DO BRASIL,R  TRES DE MAIO 1299  BELA VISTA FORTALEZA - CE CEP:60442202,Católica Apostólica Romana,-37.484.481,-385.653.153,Bela Vista,Bela Vista,94
8585-5,CONGREGACAO REDENTORISTA DO NORTE DO BRASIL,R  FRANCISCA CLOTILDE 680  RODOLFO TEÓFILO FORTALEZA - CE CEP:60431072,Católica Apostólica Romana,-37.434.977,-385.539.061,Rodolfo Teófilo,Rodolfo Teófilo,34
30457-3,CONSELHO CENTRAL DE FORTALEZA DA SOC DE S VICENTE DE PAULO,R DOM EXPEDITO LOPES 2104  DIONÍSIO TORRES FORTALEZA - CE CEP:60764000,Católica Apostólica Romana,-3.743.853,-385.052.843,Joaquim Távora (Fortaleza),Dionísio Torres,14
128877-6,CONSELHO COMUNITARIO JARDIM GUANABARA,R  CARLOS WALRAVEN 367  JARDIM GUANABARA FORTALEZA - CE CEP:60346672,Católica Apostólica Romana,-3.719.938.299.999.990,-3.859.214.900.000.000,Jardim Guanabara,Jardim Guanabara,20
328490-5,CONSELHO DE OBRAS PAROQUIAIS DE EDUCACAO E ASSISTENCIA,AV DOM LUIS 350  ALDEOTA FORTALEZA - CE CEP:60160196,Católica Apostólica Romana,-37.332.031,-384.981.623,Meireles,Aldeota,2
451723-7,CONSELHO DE OBRAS PAROQUIAIS DE EDUCACAO E ASSISTENCIA,R VIS DE MAUA 415  ALDEOTA FORTALEZA - CE CEP:60125160,Católica Apostólica Romana,-3.728.871,-384.968.429,Meireles,Meireles,24
489390-5,CONSELHO DE OBRAS PAROQUIAIS DE EDUCACAO E ASSISTENCIA,AV DOM LUIS 348  ALDEOTA FORTALEZA - CE CEP:60160196,Católica Apostólica Romana,-37.330.991,-38.498.287,Meireles,Aldeota,2
455014-5,CONSELHO DE OBRAS PAROQUIAIS DE EDUCACAO E ASSISTENCIA,R VIS DE MAUA 823  ALDEOTA FORTALEZA - CE CEP:60125058,Católica Apostólica Romana,-37.331.676,-384.983.853,Meireles,Aldeota,2
489389-1,CONSELHO DE OBRAS PAROQUIAIS DE EDUCACAO E ASSISTENCIA,AV DOM LUIS 334  ALDEOTA FORTALEZA - CE CEP:60160196,Católica Apostólica Romana,-37.331.031,-384.983.602,Meireles,Aldeota,2
7856-5,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  FRANCISCA CLOTILDE 839  RODOLFO TEÓFILO FORTALEZA - CE CEP:60431072,Católica Apostólica Romana,-37.447.644,-385.546.778,Rodolfo Teófilo,Rodolfo Teófilo,34
51159-5,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  SOLON PINHEIRO 1045  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60050041,Católica Apostólica Romana,-3.739.496.999.999.990,-385.293.262,Centro,José Bonifácio,23
14927-6,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  GRIJALVA COSTA 113  JARDIM AMÉRICA FORTALEZA - CE CEP:60410437,Católica Apostólica Romana,-37.514.147,-385.409.903,Jardim América,Jardim América,19
43898-7,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,AV  DOMINGOS OLIMPIO 2027  FARIAS BRITO FORTALEZA - CE CEP:60015103,Católica Apostólica Romana,-37.333.784,-38.541.388,José Bonifacio,Farias Brito,15
51167-6,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  SOLON PINHEIRO 1017  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60050041,Católica Apostólica Romana,-37.392.594,-385.291.263,Centro,José Bonifácio,23
43900-2,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,AV  DOMINGOS OLIMPIO 2019  FARIAS BRITO FORTALEZA - CE CEP:60015103,Católica Apostólica Romana,-37.333.949,-385.413.141,José Bonifacio,Farias Brito,15
51139-0,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  JOAQUIM MAGALHAES 28  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040160,Católica Apostólica Romana,-37.375.094,-385.352.093,Benfica,Benfica,7
51155-2,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  JOAQUIM MAGALHAES 1031  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040125,Católica Apostólica Romana,-37.396.647,-385.289.589,José Bonifacio,José Bonifácio,23
7845-0,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  ALEXANDRE BARAUNA 1460  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430160,Católica Apostólica Romana,-37.452.059,-3.855.467.180.000.000,Rodolfo Teófilo,Rodolfo Teófilo,34
7854-9,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  FRANCISCA CLOTILDE 849  RODOLFO TEÓFILO FORTALEZA - CE CEP:60431072,Católica Apostólica Romana,-37.448.235,-385.547.307,Rodolfo Teófilo,Rodolfo Teófilo,34
51146-3,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  JOAQUIM MAGALHAES 499  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040125,Católica Apostólica Romana,-3.738.796,-385.314.634,Benfica,José Bonifácio,23
51153-6,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  JOAQUIM MAGALHAES 12  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040160,Católica Apostólica Romana,-37.373.707,-385.354.576,Benfica,Benfica,7
51202-8,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R BAR DE ARATANHA 760  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60050071,Católica Apostólica Romana,-37.395.225,-385.286.926,José Bonifacio,José Bonifácio,23
51204-4,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R BAR DE ARATANHA 764  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60050071,Católica Apostólica Romana,-37.395.606,-385.287.233,José Bonifacio,José Bonifácio,23
7848-4,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  ALEXANDRE BARAUNA 1468  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430160,Católica Apostólica Romana,-37.451.201,-38.554.722,Rodolfo Teófilo,Rodolfo Teófilo,34
10554-6,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  TEODORETO SOUTO 1150  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430730,Católica Apostólica Romana,-37.393.712,-385.452.576,Rodolfo Teófilo,Rodolfo Teófilo,34
51136-6,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  JOAQUIM MAGALHAES 20  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040160,Católica Apostólica Romana,-37.374.066,-38.535.324,Benfica,Benfica,7
122859-5,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R PRC DE NASSAU 22  FLORESTA FORTALEZA - CE CEP:60340095,Católica Apostólica Romana,-37.287.938,-385.806.247,Jardim Iracema,Floresta,17
93161-6,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  VICENTE SABOIA 140  ÁLVARO WEYNE FORTALEZA - CE CEP:60335010,Católica Apostólica Romana,-3.712.518,-38.560.189,Álvaro Weyne,Álvaro Weyne,3
7852-2,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  FRANCISCA CLOTILDE 865  RODOLFO TEÓFILO FORTALEZA - CE CEP:60431072,Católica Apostólica Romana,-37.448.846,-385.547.846,Rodolfo Teófilo,Rodolfo Teófilo,34
51156-0,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  JOAQUIM MAGALHAES 1022  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040125,Católica Apostólica Romana,-3.739.539,-3.852.973.799.999.990,José Bonifacio,José Bonifácio,23
51134-0,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  JOAQUIM MAGALHAES 5  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040160,Católica Apostólica Romana,-37.372.716,-385.352.717,Benfica,Benfica,7
51145-5,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  JOAQUIM MAGALHAES 21  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040160,Católica Apostólica Romana,-37.373.165,-38.535.278,Benfica,Benfica,7
51135-8,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  JOAQUIM MAGALHAES 7  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60040160,Católica Apostólica Romana,-3.737.362.699.999.990,-385.351.944,Benfica,Benfica,7
7847-6,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,R  ALEXANDRE BARAUNA 1464  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430160,Católica Apostólica Romana,-37.451.271,-385.546.896,Rodolfo Teófilo,Rodolfo Teófilo,34
