inscricao,contribuinte,end,categoria,lat_gMaps,lng_gMaps,bairro_gMaps,bairro_name,bairro_GID
114056-6,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,AV MIN ALBUQUERQUE LIMA 270  CONJUNTO CEARÁ II FORTALEZA - CE CEP:60533694,Outras religiosidades,-37.680.032,-386.090.138,Conjunto Ceará I,Conjunto Ceará II,75
112272-0,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,AV  H (CONJ. CEARA II) 2477  GRANJA LISBOA FORTALEZA - CE CEP:60533667,Outras religiosidades,-3.777.261,-38.620.788,Granja Lisboa,Granja Lisboa,78
237303-3,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,R TEN QUEIROS 400  ANTÔNIO BEZERRA FORTALEZA - CE CEP:60360170,Outras religiosidades,-37.447.581,-38.589.229,Antônio Bezerra,Antônio Bezerra,40
297224-7,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,AV  BERNARDO MANUEL 13020  MONDUBIM FORTALEZA - CE CEP:60762704,Outras religiosidades,-3.831.697,-3.856.169.999.999.990,Mondubim,Mondubim,83
18221-4,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,AV  SANTOS DUMONT 1383  ALDEOTA FORTALEZA - CE CEP:60150161,Outras religiosidades,-37.318.528,-385.113.907,Manuel Dias Branco,Aldeota,2
298974-3,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,R  FRANCISCO COSTA 55  JANGURUSSU FORTALEZA - CE CEP:60865220,Outras religiosidades,-38.408.835,-385.162.995,Jangurussu,Jangurussu,61
536996-7,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,R PDE PERDIGAO SAMPAIO 400  QUINTINO CUNHA FORTALEZA - CE CEP:60352350,Outras religiosidades,-37.399.487,-385.946.386,Antônio Bezerra,Antônio Bezerra,40
343106-1,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,R  BENTO GONCALVES 727  MANOEL SÁTIRO FORTALEZA - CE CEP:60763832,Outras religiosidades,-3.812.028,-38.587.414,Manoel Satiro,Novo Mondubim,120
47250-6,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,R  GUILHERME MOREIRA 317  FÁTIMA FORTALEZA - CE CEP:60040490,Outras religiosidades,-37.502.264,-385.248.946,Fátima,Fátima,16
281745-4,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,AV  JUSCELINO KUBITSCHEK 3707  PASSARÉ FORTALEZA - CE CEP:60861635,Outras religiosidades,-38.151.736,-385.303.546,Passaré,Passaré,88
