Razao_social/Contribuinte,Estabelecimentos / CNPJs,Inscricoes_SEFIN,base_origem
CONSELHO PAROQUIAL NOSSA SENHORA DE FATIMA,1.0,1.0,Base_Tratada
CONFERENCIA DOS RELIGIOSOS DO BRASIL,1.0,1.0,Base_Tratada
CONSELHO COMUNITARIO JARDIM GUANABARA,1.0,1.0,Brasil IO
CONGREGACAO DAS IRMAS DOS ANJOS,1.0,1.0,Base_Tratada
IGREJA BATISTA CENTRAL DE FORTALEZA,1.0,1.0,Base_Tratada
CONGREGACAO DAS IRMAS DE SANTA ELISABETE,1.0,1.0,Base_Tratada
CENTRO ESPIRITA PEDRO O APOSTOLO DE JESUS,1.0,1.0,Brasil IO
IGREJA DE CRISTO NO CENTRO,1.0,1.0,Base_Tratada
IGREJA DE CRISTO NA MARAPONGA,1.0,1.0,Base_Tratada
IGREJA CRISTA REI DOS REIS ICRR,1.0,1.0,Base_Tratada
IGREJA CRISTA EVANGELICA FORTALECENSE,1.0,1.0,Base_Tratada
ASSOCIACAO ESCOLA DA BIBLIA,1.0,1.0,Brasil IO
IGREJA BIBLICA SANTA FE,1.0,1.0,Brasil IO
IGREJA BIBLICA HERDEIROS DE DEUS,1.0,1.0,Base_Tratada
IGREJA BIBLICA BATISTA DO PLANALTO,1.0,1.0,Base_Tratada
IGREJA BATISTA REGULAR JORDAO,1.0,1.0,Base_Tratada
IGREJA BATISTA MEMORIAL DE FORTALEZA,1.0,1.0,Base_Tratada
IGREJA BATISTA MARANATA DE FORTALEZA,1.0,1.0,Base_Tratada
CASAS FRATERNAIS O NAZARENO,1.0,1.0,Receita
CENTRO DE APOIO AO DESENVOLVIMENTO ESPIRITUAL,1.0,1.0,Base_Tratada
CENTRO DE EDUCACAO TECNICA E CULTURAL,1.0,1.0,Base_Tratada
CENTRO ESPIRITA A SAMARITANA,1.0,1.0,Base_Tratada
CENTRO ESPIRITA ANTONIO ALVES DE LINHARES,1.0,1.0,Base_Tratada
CENTRO ESPIRITA LAR DA DIVINA LUZ,1.0,1.0,Base_Tratada
IGREJA BATISTA DO CALVARIO DE FORTALEZA,1.0,1.0,Base_Tratada
IGREJA BATISTA DE PORANGABUCU,1.0,1.0,Brasil IO
IGREJA BATISTA DE MUCURIPE,1.0,1.0,Base_Tratada
IGREJA BATISTA DE MONTESE,1.0,1.0,Base_Tratada
LAYLLA PRISCILLA MOREIRA DE LIMA,1.0,1.0,Brasil IO
