,Unnamed: 0,inscricao,razao_social,end,categoria,lat_gMaps,lng_gMaps,bairro_gMaps,bairro_name,bairro_GID
63,63,544626-0,ARQUIDIOCESE DE FORTALEZA,R  NESTOR BARBOSA 315  SL-01 AMADEU FURTADO FORTALEZA - CE CEP:60455610,Católica Apostólica Romana,-37.447.461,-385.582.749,Parquelândia,Amadeu Furtado,4
64,64,74512-0,ARQUIDIOCESE DE FORTALEZA,R SEN POMPEU 1208  CENTRO FORTALEZA - CE CEP:60025000,Católica Apostólica Romana,-37.291.763,-385.305.803,Centro,Centro,10
65,65,137209-2,ARQUIDIOCESE DE FORTALEZA,AV  OLAVO BILAC 1264  PRESIDENTE KENNEDY FORTALEZA - CE CEP:60320000,Católica Apostólica Romana,-37.317.603,-3.856.476.139.999.990,Álvaro Weyne,Presidente Kennedy,33
66,66,3128-3,ARQUIDIOCESE DE FORTALEZA,AV  BEZERRA DE MENEZES 1256  SÃO GERARDO FORTALEZA - CE CEP:60325001,Católica Apostólica Romana,-3.733.699.299.999.990,-385.561.417,Farias Brito,São Gerardo,1
67,67,9824-8,ARQUIDIOCESE DE FORTALEZA,R MAJ PEDRO SAMPAIO 300  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430180,Católica Apostólica Romana,-3.740.917,-3.854.849,Rodolfo Teófilo,Rodolfo Teófilo,34
68,68,73264-8,ARQUIDIOCESE DE FORTALEZA,AV DOM MANUEL 244  CENTRO FORTALEZA - CE CEP:60060090,Católica Apostólica Romana,-37.261.932,-385.207.716,Centro,Centro,10
69,69,21225-3,ARQUIDIOCESE DE FORTALEZA,R  TIBURCIO CAVALCANTI 509  MEIRELES FORTALEZA - CE CEP:60125100,Católica Apostólica Romana,-3.729.607.799.999.990,-3.850.048,Meireles,Meireles,24
70,70,239518-5,ARQUIDIOCESE DE FORTALEZA,R  FERNANDO F. DE MELO 840  MANOEL SÁTIRO FORTALEZA - CE CEP:60713480,Católica Apostólica Romana,-37.978.684,-385.787.441,Manuel Sátiro,Manoel Sátiro,81
71,71,163549-2,ARQUIDIOCESE DE FORTALEZA,R  JOSE BASTOS 3945  DAMAS FORTALEZA - CE CEP:60442108,Católica Apostólica Romana,-37.537.702,-385.538.192,Damas,Damas,13
72,72,6128-0,ARQUIDIOCESE DE FORTALEZA,R  JOSE FACANHA    VAZIO RODOLFO TEÓFILO FORTALEZA - CE CEP:60426112,Católica Apostólica Romana,-37.528.513,-385.565.159,Rodolfo Teófilo,Rodolfo Teófilo,34
