,razao_social/Contribuinte,CNPJs,Inscricoes_SEFIN
138,FRATERNIDADE DA ORDEM FRANCISCANA SECULAR OFS,1,1
139,COMUNIDADE EVANGELICA VERDADEIROS ADORADORES,1,1
140,FEDERACAO ESPIRITA DO ESTADO DO CEARA FEEC,1,1
141,ESCOLA SAO RAFAEL 1 E 2 GRAUS,1,1
142,DISTRITO DA IGREJA EVANGELICA WESLEYANA DO CEARA,1,3
143,DIOCESE DE TIANGUA,1,1
144,DIACONIA,1,3
145,CONSELHO PAROQUIAL NOSSA SENHORA DE FATIMA,1,1
146,CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,1,53
147,CONFERENCIA DOS RELIGIOSOS DO BRASIL,1,1
148,CONSELHO COMUNITARIO JARDIM GUANABARA,1,1
149,CONGREGACAO REDENTORISTA DO NORTE DO BRASIL,1,2
150,CONGREGACAO PENIEL DE FORTALEZA,1,2
151,CONGREGACAO DOS SACERDOTES DO SAGRADO CORACAO DE JESUS,1,3
152,CONGREGACAO DAS MISSIONARIAS REPARADORAS DO C DE JESUS,1,1
153,CONGREGACAO DAS IRMAS DOS ANJOS,1,1
154,COLEGIO BATISTA SANTOS DUMONT,1,1
155,IGREJA BATISTA CENTRAL DE FORTALEZA,1,1
156,CONGREGACAO DAS IRMAS DE SANTA ELISABETE,1,1
157,CENTRO ESPIRITA PEDRO O APOSTOLO DE JESUS,1,1
158,IGREJA DE CRISTO NO CENTRO,1,1
159,IGREJA DE CRISTO NA MARAPONGA,1,1
160,IGREJA CRISTA REI DOS REIS ICRR,1,1
161,IGREJA CRISTA GILEADE PARANGABA,1,2
162,IGREJA CRISTA EVANGELICA FORTALECENSE,1,1
163,ASSOCIACAO ESCOLA DA BIBLIA,1,1
164,ASSOCIACAO FACE DE CRISTO,1,2
165,ASSOCIACAO JESUS E MARIA,1,2
166,IGREJA BIBLICA SANTA FE,1,1
167,IGREJA BIBLICA HERDEIROS DE DEUS,1,1
168,IGREJA BIBLICA BATISTA DO PLANALTO,1,1
169,ASSOCIACAO REG DA CARIDADE DE S VICENTE DE PAULO DO CE,1,5
170,IGREJA BATISTA REGULAR JORDAO,1,1
171,BAPTIST MID-MISSIONS DO BRASIL,1,1
172,IGREJA BATISTA MEMORIAL DE FORTALEZA,1,1
173,IGREJA BATISTA MARANATA DE FORTALEZA,1,1
174,CASAS FRATERNAIS O NAZARENO,1,1
175,CENTRO DE APOIO AO DESENVOLVIMENTO ESPIRITUAL,1,1
176,CENTRO DE EDUCACAO TECNICA E CULTURAL,1,1
177,CENTRO ESPIRITA A SAMARITANA,1,1
178,CENTRO ESPIRITA ANTONIO ALVES DE LINHARES,1,1
179,CENTRO ESPIRITA LAR DA DIVINA LUZ,1,1
180,IGREJA BATISTA DO CALVARIO DE FORTALEZA,1,1
181,IGREJA BATISTA DE PORANGABUCU,1,1
182,IGREJA BATISTA DE MUCURIPE,1,1
183,IGREJA BATISTA DE MONTESE,1,1
184,ACAO SOCIAL DA PAROQUIA DE SAO RAIMUNDO ASPAR,1,2
185,1 IGREJA PRESBITERIANA INDEPENDENTE DE FORTALEZA,1,3
