,Unnamed: 0,inscricao,razao_social,end,categoria,lat_gMaps,lng_gMaps,bairro_gMaps,bairro_name,bairro_GID
193,195,153903-5,ASSOCIACAO DE SAO VICENTE DE PAULO DE FORTALEZA,R  MARTINS NETO 379  ANTÔNIO BEZERRA FORTALEZA - CE CEP:60360415,Católica Apostólica Romana,-3.7405876,-38.5888689,Antônio Bezerra,Antônio Bezerra,40
194,196,53107-3,ASSOCIACAO DE SAO VICENTE DE PAULO DE FORTALEZA,AV DES MOREIRA 2211  DIONÍSIO TORRES FORTALEZA - CE CEP:60170173,Católica Apostólica Romana,-3.7454787,-38.5010471,Aldeota,Dionísio Torres,14
195,197,53108-1,ASSOCIACAO DE SAO VICENTE DE PAULO DE FORTALEZA,AV DES MOREIRA 2211  DIONÍSIO TORRES FORTALEZA - CE CEP:60170173,Católica Apostólica Romana,-3.7454787,-38.5010471,Aldeota,Dionísio Torres,14
196,198,45026-0,ASSOCIACAO DE SAO VICENTE DE PAULO DE FORTALEZA,R PRC ISABEL 1533  FARIAS BRITO FORTALEZA - CE CEP:60015061,Católica Apostólica Romana,-3.7343865,-38.5374948,Centro,Farias Brito,15
197,199,53106-5,ASSOCIACAO DE SAO VICENTE DE PAULO DE FORTALEZA,AV DES MOREIRA 2211  DIONÍSIO TORRES FORTALEZA - CE CEP:60170173,Católica Apostólica Romana,-3.7454787,-38.5010471,Aldeota,Dionísio Torres,14
204,206,12086-3,ASSOCIACAO EDUCACIONAL MARIA AUXILIADORA,AV  JOAO PESSOA 4279  DAMAS FORTALEZA - CE CEP:60425813,Católica Apostólica Romana,-3.7510265,-38.5478379,Damas,Damas,13
205,207,12085-5,ASSOCIACAO EDUCACIONAL MARIA AUXILIADORA,AV  JOAO PESSOA 4279  DAMAS FORTALEZA - CE CEP:60425813,Católica Apostólica Romana,-3.7510265,-38.5478379,Damas,Damas,13
206,208,45305-6,ASSOCIACAO ESCOLA DA BIBLIA,AV  DA UNIVERSIDADE 1838  BENFICA FORTALEZA - CE CEP:60020180,Sem Definição,-3.7343599,-38.5334118,Benfica,Benfica,7
212,214,735376-6,ASSOCIACAO NOVA JERUSALEM,AV PRS CASTELO BRANCO   PIRAMBÚ FORTALEZA - CE CEP:60010000,Católica Apostólica Romana,-3.7125347,-38.5523643,Pirambu,Pirambu,31
213,215,105918-1,ASSOCIACAO NOVA JERUSALEM,R  FRANCISCO CALACA 178  BARRA DO CEARÁ FORTALEZA - CE CEP:60334110,Católica Apostólica Romana,-3.7034888,-38.5697391,Cristo Redentor,Barra do Ceará,6
214,216,24562-3,ASSOCIACAO REG DA CARIDADE DE S VICENTE DE PAULO DO CE,R  JOAO CORDEIRO 2343  JOAQUIM TÁVORA FORTALEZA - CE CEP:60110535,Católica Apostólica Romana,-3.741106,-38.517994,Joaquim Távora (Fortaleza),Joaquim Távora,22
215,217,73546-9,ASSOCIACAO REG DA CARIDADE DE S VICENTE DE PAULO DO CE,R DEP JOAO LOPES 138  CENTRO FORTALEZA - CE CEP:60060130,Católica Apostólica Romana,-3.726666,-38.5224205,Centro,Centro,10
