,Unnamed: 0,inscricao,razao_social,end,categoria,lat_gMaps,lng_gMaps,bairro_gMaps,bairro_name,bairro_GID
99,100,138644-1,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,R TEN MARQUES 520  PRESIDENTE KENNEDY FORTALEZA - CE CEP:60356150,Outras religiosidades,-3.7361885,-38.5732258,Presidente Kennedy,Presidente Kennedy,33
100,101,419388-1,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,AV MAJ ASSIS 1480  JARDIM GUANABARA FORTALEZA - CE CEP:60346372,Outras religiosidades,-3.722643,-38.5916365,Vila Velha,Jardim Guanabara,20
101,102,220878-4,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,R  BOM JESUS 1850  BOM JARDIM FORTALEZA - CE CEP:60540255,Outras religiosidades,-3.7917149,-38.6095711,Bom Jardim,Bom Jardim,72
102,103,91954-3,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,AV  PASTEUR 861  ÁLVARO WEYNE FORTALEZA - CE CEP:60335000,Outras religiosidades,-3.7137262,-38.5595977,Carlito Pamplona,Carlito Pamplona,9
103,104,514361-6,ASSOC BRAS DA IGREJA DE JESUS CRISTO DOS SANTOS DOS ULT DIAS,R PRO JOAO BOSCO 501  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430690,Outras religiosidades,-3.741256,-38.5439849,Parque Araxá,Rodolfo Teófilo,34
104,105,261635-1,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,AV  ROGACIANO LEITE 2468  QD.03 JARDIM DAS OLIVEIRAS FORTALEZA - CE CEP:60821072,Outras religiosidades,-3.777957,-38.501228,Jardim Das Oliveiras,Jardim das Oliveiras,62
105,106,304356-8,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,R  HONORINO MAIA 555  PARQUE SANTA MARIA FORTALEZA - CE CEP:60873000,Outras religiosidades,-3.8541661,-38.5017861,Ancuri,Parque Santa Maria,102
106,107,107850-0,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,R  FRANCISCO CALACA 1665  ÁLVARO WEYNE FORTALEZA - CE CEP:60336045,Outras religiosidades,-3.716453,-38.573666,Floresta,Álvaro Weyne,3
107,108,636476-4,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,R  PEDRO ESTANISLAU  LOTE 04 QUADRA 19 MESSEJANA FORTALEZA - CE CEP:60840470,Outras religiosidades,-3.8283896,-38.4830413,Messejana,Messejana,65
108,109,159239-4,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,R IR BAZET 150  MONTESE FORTALEZA - CE CEP:60420670,Outras religiosidades,-3.7614068,-38.5561213,Montese,Montese,103
109,110,304357-6,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,R CEL JOSE DE MOURA   Q030 L002 PARQUE SANTA MARIA FORTALEZA - CE CEP:60873165,Outras religiosidades,-3.854334,-38.4990505,Santa Maria,Parque Santa Maria,102
110,111,18222-2,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,R BAR DE ARACATI 1145  ALDEOTA FORTALEZA - CE CEP:60115081,Outras religiosidades,-3.7318446,-38.5114937,Aldeota,Aldeota,2
111,112,676041-4,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,AV FRE CIRILO 4340  MESSEJANA FORTALEZA - CE CEP:60840285,Outras religiosidades,-3.8218308,-38.4958739,Messejana,Messejana,65
112,113,275507-6,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,AV CNS GOMES DE FREITAS 3400  SAPIRANGA-COITÉ FORTALEZA - CE CEP:60833104,Outras religiosidades,-3.7956999,-38.4763268,Lagoa Sapiranga (Coité),Sapiranga/Coité,64
113,114,291441-7,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,AV  GENIBAU 183  GENIBAÚ FORTALEZA - CE CEP:60534230,Outras religiosidades,-3.7613641,-38.5973636,João XXIII,Genibaú,44
