,razao_social/Contribuinte,Estabelecimentos,Inscricoes_SEFIN,base_origem
20,IGREJA PRESBITERIANA NOVA JERUSALEM,1.0,1.0,Base_Tratada
21,IGREJA BATISTA BEREIANA,1.0,1.0,Base_Tratada
26,IGREJA BATISTA DO CORDEIRO,1.0,1.0,Base_Tratada
29,IGREJA ASSEMBLEIA DE DEUS MINISTERIO FILADELFIA,1.0,1.0,Base_Tratada
36,IGREJA CRISTA EVANGELICA EBENEZER,1.0,1.0,Base_Tratada
39,IGREJA AVIVAMENTO PENTECOSTAL DA BIBLIA,1.0,1.0,Base_Tratada
40,IGREJA BATISTA RIO JORDAO,1.0,1.0,Base_Tratada
41,CENTRO ESPIRITA CAMILLE FLAMMARION,1.0,1.0,Brasil IO
44,IGREJA CRISTA EVANGELICA EMANUEL,1.0,1.0,Base_Tratada
46,IGREJA ASSEMBLEIA DE DEUS NOVO VIVER,1.0,1.0,Base_Tratada
48,FUNDACAO BEZERRA DE MENEZES,1.0,1.0,Brasil IO
50,IGREJA CONGREGACIONAL PENTECOSTAL,1.0,1.0,Base_Tratada
53,IGREJA MESSIANICA MUNDIAL DO BRASIL,1.0,1.0,Base_Tratada
60,CENTRO JUVENIL DOM BOSCO,1.0,1.0,Brasil IO
62,CENTRO ESPIRITA LAR DOS HUMILDES,1.0,1.0,Base_Tratada
64,COMUNIDADE EVANGELICA TEMPLO DOS PRINCIPES,1.0,1.0,Base_Tratada
65,IGREJA PRESBITERIANA DE MARAPONGA,1.0,1.0,Base_Tratada
66,ASSOCIACAO BIBLICA E CULTURAL NOVO MUNDO DE PAZ,1.0,1.0,Base_Tratada
70,INSPETORIA MARIA AUXILIADORA,1.0,1.0,Base_Tratada
76,IGREJA PRESBITERIANA DA ALDEOTA,1.0,1.0,Brasil IO
77,INSTITUTO DE FORMACAO E ASSISTENCIA SOCIAL,1.0,1.0,Brasil IO
80,ASSOCIACAO CATOLICA DE EVANGELIZACAO MARIA PORTA DO CEU,1.0,1.0,Base_Tratada
81,IGREJA FUNDAMENTALISTA CRISTO E VIDA,1.0,1.0,Base_Tratada
82,IGREJA EVANGELICA TABERNACULO DE ADORADORES,1.0,1.0,Base_Tratada
84,IGREJA EVANGELICA RENOVADA DO BRASIL,1.0,1.0,Base_Tratada
85,IGREJA EVANGELICA BETEL PARA AS NACOES,1.0,1.0,Base_Tratada
90,ASSOCIACAO DAS RELIGIOSAS DA INSTRUCAO CRISTA,1.0,1.0,Brasil IO
92,CONFERENCIA NACIONAL DOS BISPOS DO BRASIL,1.0,1.0,Base_Tratada
97,SOCIEDADE MAE E RAINHA,1.0,1.0,Base_Tratada
98,SOCIEDADE ESPIRITA CARIDADE E ESPERANCA,1.0,1.0,Base_Tratada
100,SEMINARIO TEOLOGICO BATISTA DO CEARA,1.0,1.0,Brasil IO
101,SEMINARIO E INSTITUTO BIBLICO MARANATA,1.0,1.0,Base_Tratada
102,ALFA 2 SPE EMPREENDIMENTO IMOBILIARIO LTDA,1.0,1.0,Brasil IO
104,RAFAEL DIOGENES PINHEIRO,1.0,1.0,Brasil IO
